Frame,Away_1634_x,Away_1634_y,Away_1635_x,Away_1635_y,Away_1636_x,Away_1636_y,Away_3837_x,Away_3837_y,Away_4777_x,Away_4777_y,Away_5201_x,Away_5201_y,Away_5566_x,Away_5566_y,Away_10054_x,Away_10054_y,Away_10055_x,Away_10055_y,Away_11234_x,Away_11234_y,Away_12853_x,Away_12853_y,ball_x,ball_y,Period,Time [s]
0,20.408035363048114,-6.237181727500982,21.43430696829222,-24.57941542281773,14.337903436993349,-32.76581715628404,9.785866673649327,12.137192650609329,44.426029611702546,-2.369972048008527,6.561904761904762,-15.142857142857155,3.902845456074145,-32.5658088387471,0.9556124169204159,-19.604804470965266,1.2707163752147919,-27.6782550562549,-5.9850340136054445,-29.28571428571429,-7.571428571428567,-8.285714285714285,3.902845456074145,-32.5658088387471,1,0.0
1,20.392439528584774,-6.2044597583486265,21.37968530516794,-24.703998724180643,14.3735457515273,-32.87516045619584,9.707429959991627,12.163297168175399,44.40953800653027,-2.376042117255539,6.403021452591219,-15.147379990830608,3.8506578074038926,-32.595711265263375,0.8654777860179629,-19.559608020467497,1.2402548394037418,-27.697868262095497,-6.066123495981957,-29.319617786111955,-7.636887806904191,-8.301675318457256,4.228074502750243,-32.396582069756064,1,0.05
2,20.37758613105065,-6.177027586512434,21.331927514796924,-24.810427490449985,14.402468829221744,-32.97224396259895,9.638393068459333,12.186048221692438,44.39505679968071,-2.3812204046587646,6.260795740181949,-15.14971210183161,3.8177890785970567,-32.62051876806209,0.7826396800767277,-19.514107109373175,1.2135300479719677,-27.71507549808814,-6.141510657205262,-29.349806797825952,-7.696748086564724,-8.316271148621214,4.525369766276207,-32.24189011527958,1,0.1
3,20.363546081779404,-6.154677749240914,21.29087496989927,-24.899302079054138,14.424990030733753,-33.05724389851095,9.578571804337404,12.20552860075094,44.38254401317916,-2.385536852401019,6.1348534332255955,-15.149907979427567,3.803565165096069,-32.640276170200316,0.7069423442766686,-19.46830823683162,1.1904622347360256,-27.729928123119763,-6.211313841682143,-29.376358410333996,-7.751125609601181,-8.32953010924549,4.79473124665212,-32.101732975317674,1,0.15000000000000002
4,20.350390292104834,-6.137202783782536,21.25636904319511,-24.97122284742143,14.441426716720413,-33.13033648694929,9.527781972910734,12.2218210949413,44.37195766905089,-2.389021402665175,6.024820340270773,-15.14802212718588,3.807311962343285,-32.65502829473499,0.6382300237979089,-19.422217901992173,1.1709716335125924,-27.742477496077303,-6.275651393819453,-29.399349713113917,-7.800136575204472,-8.341480533369367,5.036158943877919,-31.976110649870314,1,0.2
5,20.338189673360517,-6.1243952273857785,21.22825110740463,-25.02679015298024,14.452096247838838,-33.19169795093156,9.485839379464238,12.235008493853975,44.36325578932124,-2.391703997634053,5.9303222698661155,-15.144109048673942,3.8283553657810536,-32.66481996472319,0.5763469638204142,-19.375842604004212,1.1549784781182995,-27.752774975847686,-6.334641658023916,-29.418857795643447,-7.8438971825655734,-8.352150754032156,5.249652857953638,-31.86502313893756,1,0.25
6,20.32701513688021,-6.116047617299152,21.206362535247955,-25.0666043531589,14.457315984746156,-33.24150451347529,9.45255982928282,12.24517358707941,44.35639639601551,-2.3936145794905253,5.850985030560267,-15.138223247459159,3.866021270851821,-32.6696960032219,0.5211374095242254,-19.329188842017047,1.1424030023697411,-27.760871921317882,-6.388402978702352,-29.43495974740038,-7.882523630875403,-8.361569104273164,5.435212988879266,-31.768470442519348,1,0.30000000000000004
7,20.31693759399763,-6.111952490771046,21.19054469944519,-25.091265805385827,14.457403288099458,-33.279932397598074,9.427759127651424,12.25239916420803,44.351337511159024,-2.3947830904174174,5.7864344309018545,-15.130419227108957,3.919635572997958,-32.66970123328814,0.4724456060894808,-19.282263115180037,1.1331654400835411,-27.766819691374778,-6.437053700261552,-29.447732657862517,-7.916132119325006,-8.369763917131687,5.59283933665479,-31.686452560615717,1,0.35000000000000003
8,20.308027956046413,-6.111902385050012,21.180638972716494,-25.10137486708933,14.452675518555811,-33.30715782631738,9.41125307985492,12.256768014830302,44.348037156777025,-2.395239472597564,5.736296279439507,-15.120751491190688,3.988524167661858,-32.664880477978876,0.43011579869606326,-19.23507192264251,1.1271860250763535,-27.770669644905336,-6.480712167108289,-29.45725361650756,-7.944838847105225,-8.376763525647052,5.722531901280217,-31.618969493226658,1,0.4
9,20.300357134360304,-6.115689837384501,21.176486727782027,-25.09753189569776,14.44345003677233,-33.32335702265077,9.402857491178281,12.258362928536648,44.34645335489491,-2.3950136682138274,5.700196384721875,-15.109274543271775,4.0720129502858855,-32.65527856035116,0.39399223252411886,-19.18762176355381,1.1243849911648178,-27.772473140796514,-6.519496723649373,-29.463599712813334,-7.968760013407089,-8.382596262858545,5.824290682755569,-31.566021240352143,1,0.45
