,0
13,9.0
692,14.0
1060,66.0
2245,11.0
2246,10.0
2917,7.0
7540,
7541,8.0
8162,
8163,
1450,
1451,
1452,
1453,
1454,
2916,
4168,
4169,
4170,
4270,
6328,
8161,
