Frame,Away_1450_x,Away_1450_y,Away_1451_x,Away_1451_y,Away_1452_x,Away_1452_y,Away_1453_x,Away_1453_y,Away_1454_x,Away_1454_y,Away_2916_x,Away_2916_y,Away_4168_x,Away_4168_y,Away_4169_x,Away_4169_y,Away_4170_x,Away_4170_y,Away_4270_x,Away_4270_y,Away_6328_x,Away_6328_y,Away_8161_x,Away_8161_y,ball_x,ball_y,Period,Time [s]
0,-30.898918836461437,10.014063342821913,-30.821233823210246,0.025269524452180007,-30.324198652086498,-6.451747036206455,-30.357955716897365,-15.560653921320453,-26.79117919590997,16.670863292755204,-31.53008783774298,-26.730338569862905,-21.51426142218702,1.5283793994080208,-21.771448720453453,-11.897106597619096,-23.522637510935176,-20.997630477439216,-4.398639455782321,0.4285714285714295,-48.36906995324927,-1.7419806502423691,51.70204081632656,-34.14285714285716,-20.42397757921131,-27.22276471986141,1,0.0
1,-30.955477969533394,9.946784526240267,-30.91154109670979,-0.035263475133292276,-30.45406719540467,-6.536892646599655,-30.50266832666139,-15.69810236176212,-26.886406758467245,16.572919562581994,-31.521569572627346,-26.742573081305466,-21.635222445765617,1.3584369501541858,-21.876441460468293,-12.132924133084728,-23.564588104508406,-21.349336412418566,-4.398639455782321,0.4285714285714295,-48.36095556797895,-1.7560577318478747,51.702040816326495,-34.142857142857174,-20.561497235385477,-27.302545482215237,1,0.05
2,-31.013500440080676,9.877690966027304,-31.00351543012737,-0.09680335404895062,-30.58516618678653,-6.623222056799974,-30.647054138939772,-15.834926277757447,-26.983939374327747,16.471887860491094,-31.513944932616916,-26.753524107622045,-21.75556314817222,1.1851706613668158,-21.980632243134373,-12.368833360002844,-23.605120445577814,-21.696367093527982,-4.398639455782321,0.4285714285714295,-48.35278009574297,-1.7702407889736447,51.70204081632656,-34.142857142857174,-20.696298504180852,-27.37656746785926,1,0.1
3,-31.072914846170118,9.806862562741605,-31.0969973116039,-0.15923567660102778,-30.717186914866847,-6.710558499089161,-30.79065374118511,-15.970667964652417,-27.08364603484123,16.367854181533954,-31.50730039756057,-26.76306744057469,-21.874875921400974,1.008868013588944,-22.08364935612434,-12.60412807149192,-23.644011388297773,-22.037342160806592,-4.398639455782321,0.4285714285714295,-48.34456389886323,-1.7844944964462415,51.70204081632645,-34.14285714285714,-20.82778113371766,-27.444198189668707,1,0.15000000000000002
4,-31.13364978586856,9.734379216941667,-31.191827229280378,-0.22244600709566953,-30.8498206682804,-6.798725205748979,-30.93300772085003,-16.104869717793022,-27.185395731357413,16.260904520761983,-31.501722447307184,-26.771078871925393,-21.992753157445946,0.8298164873636179,-22.185121087110783,-12.83810206067045,-23.6810377868226,-22.370881254293504,-4.398639455782321,0.4285714285714295,-48.33632733966162,-1.7987835290922372,51.70204081632645,-34.14285714285714,-20.95534487211617,-27.504805160518675,1,0.2
5,-31.195633857242857,9.660320829186064,-31.287845671297713,-0.28631990983903616,-30.98275873566201,-6.887545409061231,-31.07365666538709,-16.23707383252521,-27.28905745522606,16.151124873226642,-31.497297561705658,-26.777434193436154,-22.108787248301287,0.6483035632339087,-22.284675723766373,-13.070049120656895,-23.715976495306712,-22.695604014027836,-4.398639455782321,0.4285714285714295,-48.32809078045998,-1.8130725617382473,51.702040816326495,-34.14285714285716,-21.07838946749664,-27.55775589328436,1,0.25
6,-31.258795658359812,9.584767300033313,-31.3848931257969,-0.3507429491373702,-31.11569240564644,-6.976842341307691,-31.212141162248894,-16.36682260419497,-27.394500197796926,16.038601233979364,-31.494112220604887,-26.782009196868998,-22.222570585961094,0.464616721742835,-22.381941553763696,-13.299263044569729,-23.748604367904388,-23.010130080048732,-4.398639455782307,0.4285714285714198,-48.31987458358025,-1.827326269210844,51.702040816326495,-34.14285714285716,-21.1963146679793,-27.60241790084092,1,0.30000000000000004
7,-31.323063787286305,9.50779853004199,-31.482810080918863,-0.4156006892967642,-31.248312966868486,-7.066439234770121,-31.348001798888053,-16.49365832814823,-27.501592950419727,15.923419598071595,-31.492252903853764,-26.784679673985906,-22.333695562419486,0.279043443433454,-22.476546864775386,-13.525037625527434,-23.778698258770017,-23.313079092395256,-4.398639455782307,0.4285714285714246,-48.311699111344275,-1.8415093263365945,51.702040816326495,-34.142857142857174,-21.30852022168442,-27.638158696063506,1,0.35000000000000003
8,-31.38836684208914,9.42949441977062,-31.581437024804558,-0.48077869462344125,-31.380311707962925,-7.1561593217302715,-31.480779162757152,-16.617123299730984,-27.61020470444422,15.805665960554757,-31.49180609130118,-26.785321416548854,-22.441754569670607,0.09187120884884677,-22.56811994447408,-13.746666656648458,-23.806035022057973,-23.603070691106538,-4.398639455782321,0.4285714285714295,-48.30358472607396,-1.8555864079421243,51.702040816326495,-34.142857142857174,-21.414405876732253,-27.664345791827216,1,0.4
9,-31.454633420835155,9.349934869777721,-31.680614445594948,-0.5461625294235762,-31.511379917564557,-7.245825834469925,-31.61001384130879,-16.736759814289243,-27.72020445122015,15.68542631648026,-31.49285826279599,-26.783810216319907,-22.546339999708497,-0.09661250146798267,-22.656289080532385,-13.963443931051337,-23.83039151192256,-23.878724516221716,-4.398639455782321,0.4285714285714295,-48.29555179009116,-1.869522188853986,51.70204081632645,-34.142857142857174,-21.513371381243015,-27.68034670100729,1,0.45
