,Team,Type,Subtype,Period,Start Frame,End Frame,Start Time [s],End Time [s],From,To,Start X,Start Y,End X,End Y
0,Home,PASS,,1.0,56,90.0,2.8000000000000003,4.5,9.0,14.0,-20.163315785637877,-17.4000308451268,-22.066094480711268,9.230919809016173
1,Home,PASS,,1.0,120,146.0,6.0,7.300000000000001,14.0,66.0,-24.583930945693755,10.014329564080699,-42.69167077008197,16.131798486021946
2,Home,PASS,,1.0,164,178.0,8.200000000000001,8.9,66.0,9.0,-47.446792026185484,13.068629726792619,-50.10017484763055,-1.6518729287110014
3,Home,SET PIECE,,,0,0.0,,,,,,,,
