Frame,Home_13_x,Home_13_y,Home_1903_x,Home_1903_y,Home_14096_x,Home_14096_y,Home_14097_x,Home_14097_y,Home_19924_x,Home_19924_y,Home_19925_x,Home_19925_y,Home_20000_x,Home_20000_y,ball_x,ball_y,Period,Time [s]
0,-18.58132314700554,16.059633280224418,-6.859467225777165,16.00952014699223,-14.277551020408163,-24.757142857142863,-20.262585034013604,-4.571428571428574,1.9469387755101983,26.2857142857143,-13.628571428571425,23.42857142857143,1.2258503401360694,4.1428571428571495,-17.67540799942294,19.45446391073517,1,0.0
1,-18.33590422904954,16.358492014430297,-6.911566711776087,15.980273186891672,-14.209809401694587,-24.718098944076342,-20.223592725948585,-4.543337391559135,1.8996482439365652,26.094915926136803,-13.56477716255409,23.52468007341584,1.2258503401360694,4.1428571428571495,-16.46893916211161,18.813229707580582,1,0.05
2,-18.12100640016049,16.620109509672158,-6.961268047506234,15.930378006237566,-14.124061908936982,-24.683195490445602,-20.18681936474281,-4.5227697686784,1.852726240925141,25.910414139816098,-13.510560931467614,23.604777395406984,1.2258503401360694,4.1428571428571495,-15.335589648273658,18.210858183405037,1,0.1
3,-17.93551510482581,16.845831702337886,-7.008758250434236,15.860638490245478,-14.021670522183165,-24.65199640159601,-20.152254370783822,-4.50915610510958,1.8061653745192219,25.732082629899956,-13.465728342994584,23.669320817937315,1.2258503401360694,4.1428571428571495,-14.275359457909149,17.647349338208578,1,0.15000000000000002
4,-17.77831578753298,17.037004528815398,-7.054224338026603,15.771858524130906,-13.903997221480946,-24.62406558287287,-20.119887164459175,-4.501926803175862,1.7599582527619457,25.559795099536085,-13.430085004817624,23.71876776439929,1.2258503401360694,4.1428571428571495,-13.288248591018046,17.12270317199118,1,0.2
5,-17.648293892769484,17.194973925492587,-7.0978533277500135,15.664841993109402,-13.772403986878217,-24.598966939621544,-20.08970716615642,-4.500512265200434,1.714097483696623,25.393425251872245,-13.403436524619245,23.753575658185362,1.2258503401360694,4.1428571428571495,-12.374257047600345,16.636919684752847,1,0.25
6,-17.544334865022815,17.32108582875742,-7.139832237071058,15.5403927823965,-13.628252798422805,-24.57626437718736,-20.061703796263103,-4.504342893506542,1.6685756753663696,25.232846790056144,-13.385588510082071,23.774201922688,1.2258503401360694,4.1428571428571495,-11.533384827656079,16.189998876493586,1,0.30000000000000004
7,-17.465324148780454,17.416686174997768,-7.180348083456295,15.399314777207712,-13.472905636162537,-24.555521800915656,-20.035866475166774,-4.512849090417355,1.6233854358144733,25.07793341723558,-13.376346568888659,23.78110398129964,1.2258503401360694,4.1428571428571495,-10.765631931185235,15.781940747213383,1,0.35000000000000003
8,-17.410147188529834,17.48312090060157,-7.219587884372332,15.242411862758559,-13.307724480145234,-24.53630311615176,-20.012184623255006,-4.525461258256072,1.5785193730841551,24.928558836558256,-13.3755163087216,23.774739257412733,1.2258503401360694,4.1428571428571495,-10.070998358187776,15.412745296912258,1,0.4
9,-17.37768942875848,17.521735941956702,-7.25773865728577,15.070487924264578,-13.13407131041879,-24.51817222824104,-19.990647660915315,-4.541609799345913,1.5339700952185902,24.784596751171957,-13.382903337263487,23.755565174419782,1.2258503401360694,4.1428571428571495,-9.449484108663746,15.082412525590179,1,0.45
10,-17.366836313953833,17.533877235451143,-7.294987419663198,14.88434684694132,-12.953308107030981,-24.500693042528784,-19.97124500853528,-4.560725116010072,1.4897302102610297,24.64592086422442,-13.398313262196842,23.72403915571319,1.2258503401360694,4.1428571428571495,-8.901089182613138,14.790942433247167,1,0.5
11,-17.376473288603382,17.520890717472756,-7.3315211889712435,14.684792516004277,-12.766796850029671,-24.483429464360366,-19.95396608650242,-4.582237610571749,1.4457923262547088,24.512404878863336,-13.421551691204312,23.680618624685437,1.2258503401360694,4.1428571428571495,-8.425813580035936,14.538335019883252,1,0.55
12,-17.40548579719463,17.48412232440946,-7.367526982676456,14.472628816669014,-12.575899519462709,-24.465945399081086,-19.938800315204322,-4.6055776853541435,1.4021490512428034,24.383922498236494,-13.452424231968433,23.625761004728986,1.2258503401360694,4.1428571428571495,-8.02365730093215,14.324590285498383,1,0.6000000000000001
13,-17.452759284215016,17.424917992649185,-7.403191818245439,14.248659634151023,-12.381978095377931,-24.447804752036337,-19.925737115028515,-4.6301757426804935,1.3587929932685716,24.26034742549165,-13.490736492171806,23.559923719236284,1.2258503401360694,4.1428571428571495,-7.694620345301778,14.149708230092573,1,0.65
14,-17.51717919415204,17.34462365857983,-7.438702713144835,14.013688853665847,-12.18639455782313,-24.42857142857143,-19.914765906362543,-4.655462184873948,1.315716760375219,24.141553363776513,-13.536294079497013,23.483564191599765,1.2258503401360694,4.1428571428571495,-7.438702713144835,14.013688853665847,1,0.7000000000000001
15,-17.597630971493153,17.244585258589325,-7.474246684841184,13.768520360429022,-11.990510886846184,-24.407809334031683,-19.905876109593976,-4.680867414257725,1.2729129606059584,24.02741401623885,-13.588902601626595,23.397139845211914,1.2258503401360694,4.1428571428571495,-7.511537597359131,13.679807515384534,1,0.75
16,-17.69300006072586,17.126148729065584,-7.510010750801125,13.513958039656076,-11.795689062494962,-24.38508237376244,-19.89905714511036,-4.705821833155042,1.2303742020040485,23.917803086026407,-13.64836766624318,23.301108103465197,1.2258503401360694,4.1428571428571495,-7.583500207510963,13.34992475600478,1,0.8
