Frame,Away_2877_x,Away_2877_y,Away_2878_x,Away_2878_y,Away_2879_x,Away_2879_y,Away_6718_x,Away_6718_y,Away_12086_x,Away_12086_y,Away_12087_x,Away_12087_y,Away_17896_x,Away_17896_y,Away_17897_x,Away_17897_y,Away_17898_x,Away_17898_y,Away_17899_x,Away_17899_y,ball_x,ball_y,Period,Time [s]
0,-17.67540799942294,19.45446391073517,-21.39950385850458,8.506222201117811,-22.137414965986387,-3.857142857142856,-46.49740267868245,-0.6653133607946458,-11.32108843537415,-10.142857142857148,1.2258503401360694,6.142857142857142,-2.3795918367346953,25.42857142857143,-13.48435374149659,21.999999999999993,-9.157823129251696,29.142857142857146,-9.8706657751405,18.66466276192615,-17.67540799942294,19.45446391073517,1,0.0
1,-17.54709199957786,19.552696148580573,-21.422118163752554,8.440168678976374,-22.072610195930366,-3.880113206240536,-46.48342242597768,-0.6670243041761591,-10.971741939896193,-10.20361264127876,1.1698865065680897,6.114351259185386,-2.2315263923271793,25.41726481277543,-13.461112560282547,22.039116431349825,-8.992136912959502,29.16907374914566,-9.751832326771275,18.725221170454528,-16.46893916211161,18.813229707580582,1,0.05
2,-17.44204813046956,19.637557427185097,-21.452782859707188,8.370925250743667,-22.01453234875855,-3.9025871992769123,-46.47178472759931,-0.6684071429188362,-10.633045668111663,-10.258021180523093,1.1116197480296275,6.088599655475103,-2.0962454607079093,25.403112894644355,-13.448789684225176,22.069837639751995,-8.840003254914027,29.191239392144908,-9.648277715203537,18.775263948048178,-15.335589648273658,18.210858183405037,1,0.1
3,-17.359540149097946,19.70933534793285,-21.491120121260998,8.298677583178778,-21.963021631544066,-3.9245665019205616,-46.46244164699285,-0.6694780976676589,-10.304949761198738,-10.306237093574909,1.0509814263309027,6.0655060832280325,-1.9732701476177459,25.386222256179163,-13.447134238368534,22.092365488136416,-8.700914490689636,29.209505816633612,-9.559412440587,18.815143968349798,-14.275359457909149,17.647349338208578,1,0.15000000000000002
4,-17.298831812462915,19.768317512207936,-21.536752123306382,8.22361134304083,-21.917918251360067,-3.9460527798401004,-46.45534524760382,-0.6702533890677205,-9.987404360335486,-10.348414713418961,0.9879029032823241,6.044974293945908,-1.8621215587974616,25.366699479380735,-13.455895347756693,22.106901839432965,-8.574362955860696,29.22402476739039,-9.484647003071245,18.845214105002125,-13.288248591018046,17.12270317199118,1,0.2
5,-17.259186877564385,19.81479152139448,-21.589301040735894,8.145912197088945,-21.879062415279623,-3.9670476987041114,-46.45044759287771,-0.6707492377640321,-9.680359606700147,-10.384708373039949,0.9223155406941332,6.026908039130497,-1.7623207999878874,25.34465114625003,-13.474822137433716,22.113648556571565,-8.45984098600157,29.234947989193937,-9.423391902806015,18.865827231647856,-12.374257047600345,16.636919684752847,1,0.25
6,-17.239869101402274,19.849044976876577,-21.64838904844195,8.06576581208223,-21.846294330375926,-3.9875529241812147,-46.447700746260026,-0.6709818644016385,-9.383765641470806,-10.415272405422623,0.8541507003766858,6.011211070283542,-1.673388976929848,25.320183838787976,-13.503663732443629,22.112807502482077,-8.356840916686629,29.242427226822894,-9.375057639940952,18.877336221929713,-11.533384827656079,16.189998876493586,1,0.30000000000000004
7,-17.240142240976475,19.871365480038325,-21.713638321317017,7.983357854779809,-21.81945420372207,-4.007570121939985,-46.44705677119628,-0.6709674896255945,-9.097572605825569,-10.440261143551739,0.7833397441402545,5.997787138906811,-1.5948471953641297,25.293404138995516,-13.542169257830572,22.104580540094414,-8.264855083490254,29.246614225055964,-9.339054714625743,18.880093949490398,-10.765631931185235,15.781940747213383,1,0.35000000000000003
8,-17.25927005328692,19.882040632263852,-21.784671034253577,7.898873991940783,-21.79838224239118,-4.027100957649016,-46.44846773113196,-0.6707223340809495,-8.821730640942686,-10.45982892041203,0.7098140337951568,5.986539996502003,-1.526216561031557,25.264418628873557,-13.590087838638555,22.08916953233847,-8.183375821986793,29.247660728671754,-9.314793627010037,18.87445328797263,-10.070998358187776,15.412745296912258,1,0.4
9,-17.296516295333493,19.88135803493725,-21.861109362144106,7.812499890324287,-21.78291865345639,-4.046147096976941,-46.45188568951259,-0.6702626184127243,-8.556189888000223,-10.474130068988238,0.6335049311517482,5.977373394570892,-1.4670181796729316,25.23333389042307,-13.647168599911616,22.066776342144138,-8.11189546775062,29.24571848244897,-9.301684877243517,18.86076711101915,-9.449484108663746,15.082412525590179,1,0.45
