,Team,Type,Subtype,Period,Start Frame,End Frame,Start Time [s],End Time [s],From,To,Start X,Start Y,End X,End Y
0,Home,PASS,,1.0,26,52.0,1.3,2.6,26.0,14.0,-10.196858445701046,-15.43080008786176,-12.853097056258802,-0.8817157627738568
1,Home,PASS,,1.0,58,74.0,2.9000000000000004,3.7,14.0,11.0,-14.180035758097782,-1.9894163269290888,-21.10451396241279,2.5281039306410213
2,Home,PASS,,1.0,74,98.0,3.7,4.9,11.0,14.0,-21.10451396241279,2.5281039306410213,-15.317167970428839,5.8946910912363455
3,Home,PASS,,1.0,98,148.0,4.9,7.4,14.0,66.0,-15.317167970428839,5.8946910912363455,-46.04294108744006,24.84994292888145
4,Home,PASS,,1.0,148,164.0,7.4,8.200000000000001,66.0,26.0,-46.04294108744006,24.84994292888145,-47.18197737124896,3.7115712294208985
5,Home,SET PIECE,,,0,0.0,,,,,,,,
