Frame,Home_13_x,Home_13_y,Home_747_x,Home_747_y,Home_21030_x,Home_21030_y,Home_21031_x,Home_21031_y,Home_21032_x,Home_21032_y,Home_21033_x,Home_21033_y,Home_21034_x,Home_21034_y,Home_24770_x,Home_24770_y,Home_24771_x,Home_24771_y,ball_x,ball_y,Period,Time [s]
0,46.221768707483015,-14.142857142857142,52.22579326503804,-33.57040396564937,28.77142857142857,-6.0000000000000036,25.887074829931976,-21.57142857142857,41.77382149555632,-22.316219704271564,41.318367346938786,0.7142857142857141,44.34693877551021,2.8571428571428563,15.9360544217687,-3.4285714285714213,15.647619047619045,5.1428571428571495,52.22579326503804,-33.57040396564937,1,0.0
1,46.19558897879932,-14.089797613331525,52.35904169105953,-33.603902690964446,28.72766908902851,-6.00758566499152,25.866138070140703,-21.533126293796855,41.74292558947898,-22.397082869818497,41.23294157577077,0.6996188222489402,44.27018806019788,2.8023929920187576,15.999776667781722,-3.425918468365203,15.732828309245926,5.1293343740456985,52.21751697165879,-33.576037623833024,1,0.05
2,46.16953284488358,-14.035613644671127,52.48093348950499,-33.63489869650017,28.68689836633214,-6.014653231307992,25.845501108132552,-21.494641263715152,41.715543427879616,-22.477246058453986,41.148547108455304,0.6856737959315257,44.195242848645826,2.7492008554083385,16.064972495614,-3.4231577261263615,15.81979574953895,5.116175606735967,52.20937552943676,-33.5815794890738,1,0.1
3,46.14360812003014,-13.980326592261166,52.59175303102527,-33.66345452515153,28.649084840539935,-6.021208170330925,25.825158394530618,-21.45596950894675,41.69161373398943,-22.55671618953441,41.065162924617695,0.6724424218504979,44.12208075189453,2.697540503557464,16.131623709740133,-3.420290506872313,15.908499009998314,5.103375803329618,52.2013667411523,-33.5870310570152,1,0.15000000000000002
4,46.11782261853347,-13.92395781148681,52.69178468627106,-33.68963271981341,28.614196948852452,-6.027255953441856,25.805104379957925,-21.417107057254906,41.671075231039566,-22.63550018241624,40.98276800388334,0.6599164865228505,44.050679380984434,2.647385992711997,16.19971211463487,-3.4173181156205454,15.998915732124154,5.090929926228267,52.193488445386485,-33.59239379893123,1,0.2
5,46.092184154688,-13.866528657733266,52.781312825893124,-33.71349582338077,28.582203128470155,-6.032802052022267,25.785333515037493,-21.378049936402828,41.65386664226125,-22.713604956455807,40.90134132587763,0.6480877764656063,43.98101634695606,2.598711379117786,16.269219514772868,-3.4142418573885274,16.091023557416605,5.078832937833555,52.18573851593786,-33.59766916212348,1,0.25
6,46.06670054278815,-13.80806048638577,52.86062182054228,-33.73510637874856,28.553071816593583,-6.037851937453718,25.765840250392387,-21.33879417415385,41.639926690885645,-22.79103743100956,40.82086187022582,0.6369480781958071,43.91306926084986,2.5514907190206744,16.340127714628785,-3.4110630371937,16.18480012737585,5.067079800547126,52.17811486124855,-33.6028585703116,1,0.30000000000000004
7,46.04137959712832,-13.748574652829472,52.92999604086925,-33.754526928811714,28.526771450423187,-6.042411081117681,25.74661903664562,-21.299335798271166,41.62919410014393,-22.8678045254339,40.741308616553354,0.6264891782304468,43.84681573370637,2.505698068666502,16.41241851867732,-3.4077829600535074,16.28022308350205,5.055665476770635,52.17061542383992,-33.60796342401774,1,0.35000000000000003
8,46.016229132003,-13.688092512449591,52.989719857524804,-33.77182001646513,28.503270467159528,-6.046484954395684,25.727664324420218,-21.259670836518083,41.62160759326729,-22.943913159085252,40.66266054448564,0.6167028630865334,43.78223337656593,2.461307484301141,16.48607373139319,-3.4044029309854227,16.3772700672953,5.044584928905693,52.16323817975702,-33.61298510094434,1,0.4
9,45.99125696170653,-13.626635420631311,53.040077641159705,-33.78704818460381,28.482537304003113,-6.05007902866927,25.70897056433924,-21.219795316657837,41.617105893486894,-23.019370251320012,40.58489663364795,0.6075809192811283,43.71929980046912,2.4182930221704506,16.56107515725096,-3.4009242550068914,16.475918720255798,5.033833119353945,52.155981138022774,-33.617924956346016,1,0.45
