,0
12,10.0
1214,9.0
1622,11.0
11698,12.0
22034,3.0
22035,
22036,
22374,5.0
24074,
24938,14.0
3342,
3343,
3344,
3346,
3347,
9949,
11069,
14238,
24075,
24076,
