,Team,Type,Subtype,Period,Start Frame,End Frame,Start Time [s],End Time [s],From,To,Start X,Start Y,End X,End Y
0,Home,PASS,,1.0,14,42.0,0.7000000000000001,2.1,26.0,10.0,-2.725015799919513,-23.227410156740138,-22.792201335270114,-29.150386391625105
1,Home,PASS,,1.0,118,154.0,5.9,7.7,10.0,9.0,-41.64188307343179,-17.941587073496358,-52.28204030333224,-8.99215623769321
2,Home,PASS,,1.0,154,168.0,7.7,8.4,9.0,10.0,-52.28204030333224,-8.99215623769321,-45.764325457855456,-3.4501777256449566
3,Home,SET PIECE,,,0,0.0,,,,,,,,
