,0
15,10.0
1417,11.0
1726,20.0
2150,9.0
2813,26.0
9756,5.0
13011,
13961,
13962,
4470,
4471,
4472,
4473,
8181,
8978,
10382,
12448,
13012,
13960,
16185,
