Frame,Away_4470_x,Away_4470_y,Away_4471_x,Away_4471_y,Away_4472_x,Away_4472_y,Away_4473_x,Away_4473_y,Away_8181_x,Away_8181_y,Away_8978_x,Away_8978_y,Away_10382_x,Away_10382_y,Away_12448_x,Away_12448_y,Away_13012_x,Away_13012_y,Away_13960_x,Away_13960_y,Away_16185_x,Away_16185_y,ball_x,ball_y,Period,Time [s]
0,-21.196204643135758,15.023450241875166,-21.82078641584282,6.540269127406587,-25.657640841067106,-1.757837629567152,-23.280260560559576,-21.593196223401907,-12.661736105424474,-13.906154032062187,-12.311583128609485,1.5591304117297526,-6.862459773067016,4.452504168953656,-2.2691932435457964,-8.754509357480003,1.94387068104366,29.43662922168079,5.164331299530121,14.34462444771723,-46.182754735522515,-3.082551796467427,0.07487515677932166,-23.74301786573524,1,0.0
1,-21.324666288108357,15.092899414795061,-22.006661137690458,6.498778205050251,-25.75437679103304,-1.9554725805141253,-23.214228392388414,-21.521247816662477,-12.785156914194229,-13.945419432536978,-12.38044140076299,1.3550695674574813,-6.995482237300386,4.40758149022177,-2.476650948108774,-8.823757989554991,1.7455605446701548,29.385748486922154,5.099656357388321,14.330633284241534,-46.182754735522515,-3.082551796467427,-0.07527767242390696,-23.732083083016747,1,0.05
2,-21.45236385664714,15.154266182793144,-22.192073079192546,6.4539659345374,-25.855121289052683,-2.146546234802738,-23.156951476355637,-21.454533857558967,-12.914110405680574,-13.986563054017296,-12.455872517136733,1.1543582345318206,-7.131532869486623,4.362284873398175,-2.6867687822131763,-8.890586261465664,1.5457371374083932,29.333602790935842,5.034981415246527,14.316642120765827,-46.182754735522515,-3.082551796467427,-0.2337145363212788,-23.71685934969878,1,0.1
3,-21.579343535307473,15.20770149716277,-22.37703262610379,6.405924827224673,-25.959792518266,-2.3311598293166536,-23.108292074132834,-21.392910648258006,-13.048511235581888,-14.02950844214678,-12.537774448330076,0.956937347925944,-7.270587827018505,4.316612565395992,-2.8995231223496916,-8.95503838242388,1.3444231831605267,29.280211128903318,4.970306473104712,14.302650957290131,-46.182754735522515,-3.082551796467427,-0.40028132554653706,-23.697422967302263,1,0.15000000000000002
4,-21.705651510644728,15.253356309197251,-22.561550164178843,6.354747394468738,-26.068308661813017,-2.509414600939604,-23.06811244739155,-21.33623449092636,-13.188274059596395,-14.074179142569049,-12.626045164942376,0.762747842613079,-7.4126232672888825,4.270562813128282,-3.114890345008993,-9.01715856164154,1.1416414058287825,29.225592496006126,4.905631530962889,14.288659793814436,-46.182754735522515,-3.082551796467427,-0.5748239307334475,-23.67385023734809,1,0.2
5,-21.831333969214306,15.291381570189923,-22.745636079172407,6.30052614762624,-26.18058790283375,-2.6814117865552727,-23.036274857803402,-21.28436168773074,-13.333313533422483,-14.120498700927767,-12.720582637573052,0.5717306535663949,-7.557615347690542,4.224133863508176,-3.3328468266817013,-9.076991008330502,0.9374145293153275,29.169765887425797,4.840956588821111,14.27466863033872,-46.182754735522515,-3.082551796467427,-0.7571882425157759,-23.646217461357264,1,0.25
6,-21.956437097571595,15.321928231434123,-22.92930075683918,6.243353598053814,-26.296548424468234,-2.847252623047401,-23.012641567039946,-21.23714854083783,-13.483544312758498,-14.16839066286654,-12.821284836821501,0.3838267157591091,-7.705540225616236,4.17732396344875,-3.553368943858521,-9.134579931702644,0.731765277522374,29.11275029834378,4.776281646679287,14.260677466863044,-46.182754735522515,-3.082551796467427,-0.9472201515272878,-23.61460094085062,1,0.30000000000000004
7,-22.081007082271938,15.345147244223172,-23.11255458293384,6.183322257108128,-26.416108409856477,-3.0070383472996673,-22.997074836772764,-21.194451352414287,-13.638881053302745,-14.217778574029023,-12.928049733287063,0.19897696416441024,-7.856374058458827,4.130131359863097,-3.7764330730301165,-9.189969540969841,0.5247163743520507,29.054564723941663,4.711606704537502,14.246686303387339,-46.182754735522515,-3.082551796467427,-1.1447655484016814,-23.579076977349153,1,0.35000000000000003
8,-22.20509010987075,15.361189559850413,-23.295407943211064,6.120524636145813,-26.539186042138482,-3.160870196195799,-22.989436928673427,-21.156126424626837,-13.799238410753528,-14.268585980058853,-13.04077529756912,0.017122333755491752,-8.01009300361106,4.082554299664331,-4.00201559068711,-9.24320404534394,0.31629054370662274,28.995228159400934,4.646931762395694,14.232695139911643,-46.182754735522515,-3.082551796467427,-1.3496703237727676,-23.539721872373708,1,0.4
9,-22.328732366923393,15.370206129609178,-23.47787122342554,6.055053246523534,-26.665699504454256,-3.3088494066194785,-22.989590104413548,-21.12203005964219,-13.964531040809199,-14.320736426599666,-13.159359500267042,-0.16179624049442395,-8.166673218465771,4.0345910297655445,-4.230092873320212,-9.294327654036875,0.10651050948820427,28.93475959990311,4.582256820253885,14.218703976435938,-46.182754735522515,-3.082551796467427,-1.5617803682742744,-23.496611927445283,1,0.45
