Frame,Home_15_x,Home_15_y,Home_1417_x,Home_1417_y,Home_1726_x,Home_1726_y,Home_2150_x,Home_2150_y,Home_2813_x,Home_2813_y,Home_9756_x,Home_9756_y,Home_13011_x,Home_13011_y,Home_13961_x,Home_13961_y,Home_13962_x,Home_13962_y,ball_x,ball_y,Period,Time [s]
0,-17.447263015696088,-30.224929782965276,-23.71248220086435,1.9437525203043657,-14.38204978916448,-10.889690421706085,-14.95044567933263,5.634525497243192,0.07487515677932166,-23.74301786573524,-6.348565698352423,7.386236240881015,-7.879796717244044,25.55835579461231,5.393295462514917,7.5670103092783485,-1.6138999929868882,0.5007363770250254,0.07487515677932166,-23.74301786573524,1,0.0
1,-17.497775325035384,-30.177159009408353,-23.88391342401528,1.9628404894914044,-14.631006866742789,-10.796052852882562,-14.924410000068624,5.507723031789222,-0.07527767242390696,-23.732083083016747,-6.462414614668483,7.35645440976672,-8.00884902073171,25.50406657976151,5.342744933024773,7.566273932253317,-1.6785749351286892,0.48895434462444115,-0.07527767242390696,-23.732083083016747,1,0.05
2,-17.552476065019764,-30.131944571364023,-24.050294942246566,1.976829415126262,-14.879088368088658,-10.71559504594519,-14.909841316046842,5.376002929012895,-0.2337145363212788,-23.71685934969878,-6.577786904470812,7.326932012121346,-8.139425647147533,25.448543523681504,5.292194403534621,7.565537555228281,-1.743249877270512,0.47717231222386175,-0.2337145363212788,-23.71685934969878,1,0.1
3,-17.611331889180786,-30.08917591345092,-24.21176573826246,1.9858596378571542,-15.126318391630488,-10.647954255153971,-14.906530394794666,5.239478682137102,-0.40028132554653706,-23.697422967302263,-6.694698003549007,7.297650240069623,-8.271503706627296,25.39180515424303,5.241643874044447,7.564801178203236,-1.8079248194123052,0.4653902798232727,-0.40028132554653706,-23.697422967302263,1,0.15000000000000002
4,-17.67430945104995,-30.0487424802876,-24.368464794767128,1.9900714983323113,-15.372721035796692,-10.592767734768941,-14.91426800383949,5.098263784384788,-0.5748239307334475,-23.67385023734809,-6.81316334769259,7.268590285736317,-8.405060309306869,25.333869999316843,5.191093344554325,7.564064801178201,-1.8725997615541061,0.45360824742268363,-0.5748239307334475,-23.67385023734809,1,0.2
5,-17.741375404158774,-30.01053371649273,-24.52053109446479,1.9896053371999634,-15.618320399015689,-10.54967273905009,-14.932844910708726,4.952471728978847,-0.7571882425157759,-23.646217461357264,-6.933198372691023,7.239733341246132,-8.540072565321967,25.274756586773652,5.1405428150641725,7.563328424153165,-1.9372747036959141,0.44182621502209457,-0.7571882425157759,-23.646217461357264,1,0.25
6,-17.812496402038803,-29.974439066684898,-24.668103620059682,1.9846014951083264,-15.863140579715898,-10.518306522257452,-14.962051882929739,4.802216009142167,-0.9472201515272878,-23.61460094085062,-7.054818514333852,7.211060598723856,-8.676517584808499,25.214483444484202,5.089992285574022,7.562592047128134,-2.0019496458377297,0.4300441826215055,-0.9472201515272878,-23.61460094085062,1,0.30000000000000004
7,-17.887639098221555,-29.940347975482744,-24.81132135425599,1.9752003127056446,-16.107205676325744,-10.49830633865101,-15.001679688029943,4.647610118097707,-1.1447655484016814,-23.579076977349153,-7.178039208410628,7.182553250294209,-8.814372477902207,25.15306910031923,5.039441756083877,7.561855670103084,-2.066624587979523,0.41826215022091645,-1.1447655484016814,-23.579076977349153,1,0.35000000000000003
8,-17.966770146238545,-29.90814988750486,-24.950323279757935,1.9615421306401197,-16.35053978727363,-10.489309442490828,-15.051519093536713,4.488767549068335,-1.3496703237727676,-23.539721872373708,-7.302875890710831,7.154192488081915,-8.95361435473892,25.09053208214947,4.988891226593748,7.561119293078063,-2.131299530121331,0.40648011782031773,-1.3496703237727676,-23.539721872373708,1,0.4
9,-18.049856199621313,-29.87773424736991,-25.0852483792697,1.943767289560001,-16.59316701098797,-10.490953088036884,-15.111360866977446,4.325801795276996,-1.5617803682742744,-23.496611927445283,-7.429343997024026,7.125959504211753,-9.094220325454451,25.02689091784565,4.938340697103596,7.560382916053018,-2.195974472263132,0.3946980854197335,-1.5617803682742744,-23.496611927445283,1,0.45
10,-18.13686391190137,-29.848990499696445,-25.21623563549555,1.922016130113485,-16.835111445897205,-10.50287452954919,-15.180995775879522,4.158826349946597,-1.7809415725399527,-23.449823444084746,-7.557458963139683,7.097835490808429,-9.236167500184589,24.9621641352785,4.887790167613474,7.559646539027977,-2.2606494144049325,0.3829160530191348,-1.7809415725399527,-23.449823444084746,1,0.5
11,-18.227759936610234,-29.821808089103104,-25.343424031139648,1.8964289929488358,-17.07639719042972,-10.524711021287763,-15.260214587770353,3.9879547063000294,-2.006999827203583,-23.39943272381305,-7.687236224847378,7.069801639996724,-9.379432989065162,24.896370262318758,4.837239638123277,7.558910162002942,-2.325324356546748,0.3711340206185554,-2.006999827203583,-23.39943272381305,1,0.55
12,-18.322510927279417,-29.796076460208543,-25.466952548906214,1.8671462187142305,-17.317048343013937,-10.55609981751264,-15.348808070177336,3.813300357560219,-2.239801022898871,-23.3455160681511,-7.8186912179365855,7.041839143901336,-9.523993902231997,24.829527826837165,4.786689108633178,7.558173784977896,-2.389999298688541,0.35935198821795666,-2.239801022898871,-23.3455160681511,1,0.6000000000000001
13,-18.42108353744049,-29.77168505763132,-25.58696017149945,1.8343081480579377,-17.557089002078296,-10.59667817248381,-15.446566990627835,3.63497679695007,-2.4791910502595744,-23.288149778619836,-7.951839378196833,7.013929194647044,-9.66982734982085,24.761655356704477,4.736138579143004,7.557437407952857,-2.4546742408303794,0.3475699558173676,-2.4791910502595744,-23.288149778619836,1,0.65
14,-18.523444420624948,-29.748523325990064,-25.7035858816236,1.7980551216281588,-17.796543266051184,-10.646083340461296,-15.553282116649264,3.453097517692514,-2.725015799919513,-23.227410156740138,-8.086696141417683,6.986052984358566,-9.816910441967543,24.6927713797914,4.6855880496528375,7.556701030927839,-2.5193491829721726,0.3357879234167882,-2.725015799919513,-23.227410156740138,1,0.7000000000000001
15,-18.629560230364305,-29.726480709903452,-25.816968661982838,1.7585274800731192,-18.035435233361017,-10.703952575705115,-15.668744215768983,3.267776013010459,-2.9771211625123684,-23.163373504032982,-8.2232769433886,6.95819170516065,-9.965220288807945,24.62289442396866,4.635037520162715,7.5559646539027945,-2.5840241251139733,0.32400589101619914,-3.9254635060520964,-23.581731056505586,1,0.75
16,-18.7393976201901,-29.705446653990037,-25.9272474952814,1.715865564041059,-18.273789002436256,-10.769923132475283,-15.792744055514452,3.079125776126789,-3.2353530286719288,-23.096116122019254,-8.361597219899114,6.930326549178042,-10.114734000477778,24.55204301710701,4.5844869906725645,7.555228276877759,-2.648699067255774,0.3122238586155956,-5.090076952300123,-23.925475212994453,1,0.8
