Frame,Away_894_x,Away_894_y,Away_1778_x,Away_1778_y,Away_12666_x,Away_12666_y,Away_12667_x,Away_12667_y,Away_15145_x,Away_15145_y,Away_23197_x,Away_23197_y,Away_29595_x,Away_29595_y,Away_38288_x,Away_38288_y,Away_52137_x,Away_52137_y,ball_x,ball_y,Period,Time [s]
0,12.88213814775295,9.557288286828774,37.98138860190103,-2.8994250134774706,28.233046486989032,8.547868735826295,37.53718708212106,24.040308072697993,28.125000705402215,-6.244902677833334,34.23115999247264,-15.117679025223545,40.61510540361671,3.499541608993072,44.878649948151775,-6.690234782121156,-48.89924393824884,-1.1564677499909766,37.98138860190103,-2.8994250134774706,1,0.0
1,12.941140068838372,9.570264236501599,37.96905746569544,-3.111377869438513,28.179236643386204,8.534477495094109,37.311016702978755,23.98340269364254,28.267012794665888,-5.959303760140609,34.30994318084318,-14.79287463243937,40.658971100334654,3.5107649115551283,44.82946351285028,-6.7083134795849455,-48.89924393824884,-1.1564677499909766,37.96905746569544,-3.111377869438513,1,0.05
2,12.989084535562927,9.578875552019042,37.95524489586338,-3.3083251769012785,28.124833113023055,8.520074312424583,37.08856190715904,23.922961035761652,28.383447807228972,-5.728760064291645,34.360473223565926,-14.494891306546368,40.69829061344749,3.520211460137272,44.78095063866179,-6.7288690002041065,-48.89924393824884,-1.1564677499909766,37.95524489586338,-3.3083251769012785,1,0.1
3,13.026241852093065,9.583229682283887,37.94001239970883,-3.4907497427380054,28.069863296827013,8.504705892830195,36.86965120620083,23.859146311924203,28.475712463573547,-5.550199940856118,34.384283943048686,-14.22213595460848,40.733053420378106,3.527969169665612,44.73297862887113,-6.751749118940668,-48.89924393824884,-1.1564677499909766,37.94001239970883,-3.4907497427380054,1,0.15000000000000002
4,13.052882322595451,9.583434076198884,37.92342148453548,-3.659134373821038,28.014354595725315,8.488418941323424,36.65411311164313,23.792121734999057,28.545213484181666,-5.420551740403687,34.38290916169925,-13.973015483689629,40.763248998549074,3.5341259550662683,44.6854147867632,-6.7768016107566424,-48.89924393824884,-1.1564677499909766,37.92342148453548,-3.659134373821038,1,0.2
5,13.069276251236555,9.579596182666796,37.90553365764728,-3.8139618770226047,27.958334410645588,8.471260162916785,36.441776135024924,23.722050517855077,28.593357589535504,-5.336743813504049,34.35788270192541,-13.745936800853768,40.78886682538317,3.53876973126537,44.638126415622835,-6.803874250614046,-48.89924393824884,-1.1564677499909766,37.90553365764728,-3.8139618770226047,1,0.25
6,13.07569394218295,9.571823450590419,37.88641042634797,-3.955715059214976,27.9018301425151,8.453276262622756,36.23246878788516,23.649095873361134,28.62155150011713,-5.295704510726857,34.310738386135014,-13.539306813164789,40.809896378303286,3.541988413189042,44.59098081873503,-6.832814813474856,-48.89924393824884,-1.1564677499909766,37.88641042634797,-3.955715059214976,1,0.30000000000000004
7,13.072405699601179,9.560223328872498,37.866113297941425,-4.0848767272704585,27.84486919226128,8.43451394545383,36.02601958176275,23.573421014386085,28.631201936408594,-5.294362182641798,34.243010036735804,-13.351532427686688,40.82632713473203,3.543869915763393,44.54384529938451,-6.8634710743011516,-48.89924393824884,-1.1564677499909766,37.866113297941425,-4.0848767272704585,1,0.35000000000000003
8,13.05968182765778,9.544903266415794,37.84470377973147,-4.201929688061299,27.78747896081149,8.415019916422514,35.82225702819668,23.49518915379879,28.623715618892003,-5.329645179818541,34.156231476135645,-13.181020551483298,40.838148572092216,3.54450215391456,44.49658716085625,-6.895690808054895,-48.89924393824884,-1.1564677499909766,37.84470377973147,-4.201929688061299,1,0.4
9,13.037792630519323,9.525970712123106,37.82224337902197,-4.307356748459818,27.72968684909322,8.394840880541294,35.62100963872595,23.41456350446813,28.600499268049486,-5.398481852826783,34.051936526742274,-13.026178091618625,40.84535016780655,3.543973042568654,44.44907370643508,-6.9293217896981085,-48.89924393824884,-1.1564677499909766,37.82224337902197,-4.307356748459818,1,0.45
10,13.00700841235237,9.503533114897152,37.79879360311667,-4.401640715338224,27.671520258033762,8.374023542822654,35.42210592488948,23.331707279262982,28.562959604363098,-5.497800552236175,33.93165901096356,-12.885411955156547,40.84792139929782,3.542370496651818,44.401172239405845,-6.964211794192803,-48.89924393824884,-1.1564677499909766,37.79879360311667,-4.401640715338224,1,0.5
11,12.967599477323413,9.47769792364074,37.77441595931946,-4.485264395568846,27.613006588560605,8.352614608279087,35.22537439822612,23.246783691052187,28.512503348314947,-5.624529628616373,33.79693275120725,-12.757129049161028,40.84585174398874,3.5397824310901433,44.35275006305346,-7.000208596500993,-48.89924393824884,-1.1564677499909766,37.77441595931946,-4.485264395568846,1,0.55
12,12.919836129599066,9.448572587256606,37.74917195493421,-4.558710596023938,27.554173241601084,8.330660781923118,35.030643570275004,23.159955952704635,28.45053722038714,-5.775597432537082,33.64929156988123,-12.63973628069597,40.83913067930217,3.5362967608097766,44.30367448066284,-7.037159971584687,-48.89924393824884,-1.1564677499909766,37.74917195493421,-4.558710596023938,1,0.6000000000000001
13,12.863988673345862,9.416264554647542,37.723123097264676,-4.622462123575798,27.495047618082676,8.308208768767205,34.83774195257502,23.071387277089162,28.37846794106172,-5.947932314567979,33.4902692893932,-12.531640556825336,40.82774768266069,3.5320014007368363,44.25381279551879,-7.074913694405906,-48.89924393824884,-1.1564677499909766,37.723123097264676,-4.622462123575798,1,0.65
