Frame,Home_14_x,Home_14_y,Home_331_x,Home_331_y,Home_471_x,Home_471_y,Home_472_x,Home_472_y,Home_648_x,Home_648_y,Home_876_x,Home_876_y,Home_877_x,Home_877_y,Home_878_x,Home_878_y,ball_x,ball_y,Period,Time [s]
0,1.6585034013605435,-27.857142857142858,7.2829931972789055,-32.57142857142857,-3.8217687074829976,-26.42857142857143,-4.687074829931976,-16.571428571428577,-13.202748767760955,10.002159327271293,-4.110204081632652,-30.714285714285715,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-3.8217687074829976,-26.42857142857143,1,0.0
1,1.7701468662380628,-27.57288860702505,7.30319340029788,-32.627481776656104,-3.568616041902977,-26.403616973244162,-4.56163689229778,-16.53071523855372,-12.896997410244005,10.027179362476144,-4.00332626584969,-30.637434428432584,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-3.624879429255106,-25.600617150558833,1,0.05
2,1.8913409149578664,-27.29486635573,7.322564833326838,-32.669553210336616,-3.3207831960998164,-26.382584031412783,-4.431675967023001,-16.48893124095644,-12.599139471197596,10.05763568344831,-3.8940468145114875,-30.562318885187015,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142847,-3.4355009136843737,-24.804246959445855,1,0.1
3,2.021878669807808,-27.022913334713273,7.341422489603634,-32.698060357450444,-3.078008539592719,-26.365279741757867,-4.297414496122803,-16.446129234278835,-12.308786749713306,10.09326093187139,-3.7824649635935574,-30.48890280378217,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-3.2536331607708684,-24.039460855232576,1,0.15000000000000002
4,2.161553253075673,-26.75686677543059,7.360081362366054,-32.71342070297805,-2.8400304419009164,-26.351511242959923,-4.1590749216122695,-16.40236187416297,-12.0255510448828,10.133787749428894,-3.6686799490713344,-30.4171499034512,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-3.079276170514561,-23.30625883791896,1,0.2
5,2.310157787049323,-26.496563909337528,7.378856444851961,-32.71605173189973,-2.6065872725434964,-26.34108567369948,-4.016879685506549,-16.357681816250953,-11.749044155797638,10.178948777804486,-3.5527910069203767,-30.347023903427292,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142861,-2.912429942915435,-22.604640907505008,1,0.25
6,2.4674853940165495,-26.24184196788973,7.398062730299171,-32.706370929195934,-2.3774174010396463,-26.333810172657067,-3.8710512298207007,-16.31214171618489,-11.478877881549504,10.228476658681691,-3.434897373116113,-30.278488522943537,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142861,-2.753094477973507,-21.93460706399069,1,0.30000000000000004
7,2.633329196265132,-25.992538182542848,7.418015211945501,-32.68479577984702,-2.1522591969085534,-26.32949187851323,-3.72181199656989,-16.265794229606836,-11.214664021229918,10.282104033744064,-3.315098283634061,-30.211507481233113,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142847,-2.6012697756887686,-21.29615730737608,1,0.35000000000000003
8,2.807482316082968,-25.748489784752493,7.439028883028758,-32.65174376883333,-1.930851029669359,-26.32793792994847,-3.5693844277691524,-16.218692012158883,-10.956014373930586,10.339563544675242,-3.1934929744496205,-30.14604449752916,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142861,-2.456955836061243,-20.689291637661107,1,0.4
9,2.9897378757577986,-25.50953400597428,7.461418736786821,-32.60763238113529,-1.7129312688412792,-26.328955465643315,-3.4139909654336154,-16.17088771948312,-10.70254073874305,10.400587833158758,-3.0701806815384227,-30.082063291064827,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142847,-2.3201526590908843,-20.11401005484578,1,0.45
10,3.1798889975774767,-25.275508077663886,7.48549976645749,-32.55287910173328,-1.4982382839434263,-26.332351624278317,-3.25585405157845,-16.122434007221617,-10.453854914758935,10.464909540878194,-2.9452606408758513,-30.019527581073277,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-2.1908602447777525,-19.570312558930173,1,0.5
11,3.3777288038298035,-25.04624923127694,7.5115869652785685,-32.487901415607666,-1.2865104444949935,-26.33793354453397,-3.0951961282187024,-16.073383531016468,-10.209568701069895,10.532261309517096,-2.818832088437418,-29.95840108678767,-14.493877551020383,-24.714285714285722,-20.551020408163257,-10.857142857142847,-2.0690785931217963,-19.058199149914174,1,0.55
12,3.5830504168026462,-24.821594698269035,7.539995326487909,-32.413116807738845,-1.077486120015146,-26.34550836509085,-2.9322396373694906,-16.023788946509786,-9.96929389676751,10.60237578075909,-2.6909942601985586,-29.898647527441106,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142847,-1.954807704123052,-18.57766982779787,1,0.6000000000000001
13,3.795646958783769,-24.601381710095843,7.571039843323322,-32.32894276310718,-0.870903680023085,-26.35488322462948,-2.767207021045934,-15.97370290934362,-9.732642300943414,10.674985596287712,-2.5618463921348527,-29.8402306222668,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-1.8480475777814902,-18.128724592581236,1,0.65
14,4.015311552061002,-24.385447498212983,7.605035509022638,-32.23579676669307,-0.6665014940379369,-26.365865261830336,-2.600320721263129,-15.923178075160074,-9.499225712689192,10.749823397786553,-2.4314877202216985,-29.783114090497858,-14.493877551020383,-24.714285714285722,-20.551020408163247,-10.857142857142861,-1.7487982140971179,-17.711363444264233,1,0.7000000000000001
15,4.241837318922139,-24.17362929407608,7.642297316823704,-32.13409630347688,-0.4640179315788886,-26.37826161537398,-2.431803180036188,-15.872267099601228,-9.268655931096458,10.826621826939181,-2.3000174804346307,-29.727261651367463,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142847,-1.6570596130699506,-17.325586382846907,1,0.75
16,4.4750173816550385,-23.9657643291408,7.683140259964315,-32.02425885843904,-0.26319136216509664,-26.39187942394099,-2.2618768393802915,-15.821022638309175,-9.040544755256878,10.905113525429165,-2.167534908749138,-29.67263702410873,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-1.5728317746999656,-16.97139340832926,1,0.8
17,4.714644862547511,-23.761689834862736,7.7278793316823,-31.906701916559868,-0.06376015531573259,-26.406525826211805,-2.090764141310422,-15.769497346926004,-8.81450398426202,10.985031134940105,-2.034139241140656,-29.619203927954807,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-1.4961146989872005,-16.648784520711256,1,0.8500000000000001
18,4.960512883887342,-23.56124304269753,7.776829525215486,-31.781842962819763,0.13453731945000924,-26.422007960867003,-1.9186875278417368,-15.717743881093783,-8.590145417203447,11.066107297155556,-1.8999297135847346,-29.566926082138878,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-1.4269083859316325,-16.35775971999295,1,0.9
19,5.212414567962369,-23.36426118410084,7.8303058338017335,-31.65009948219911,0.3319626926129874,-26.43813296658709,-1.7458694409893782,-15.665814896454618,-8.36708085317288,11.148074653759076,-1.7650055620567946,-29.515767205894083,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-1.365212835533232,-16.098319006174272,1,0.9500000000000001
20,5.4701430370604225,-23.17058149052827,7.8886232506787985,-31.51188895967832,0.5287775946540678,-26.454707982052653,-1.5725323227684505,-15.613763048650567,-8.144922091261876,11.23066584643427,-1.6294660225323403,-29.465691018453544,-14.493877551020383,-24.714285714285722,-20.551020408163247,-10.857142857142861,-1.3110280477920437,-15.870462379255262,1,1.0
21,5.733491413469302,-22.980041193435447,7.952096769084597,-31.36762888023774,0.725243656053981,-26.471540145944132,-1.3988986151940201,-15.561640993323756,-7.9232809305620515,11.313613516864692,-1.4934103309869202,-29.41666123905047,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-1.26435402270803,-15.674189839235924,1,1.05
22,6.002252819476812,-22.792477524278052,8.021041382256868,-31.217736728857787,0.9216225072936458,-26.48843659694212,-1.2251907602812064,-15.509501386116254,-7.70176917016506,11.39665030673392,-1.3569377233959408,-29.36864158691797,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-1.2251907602812064,-15.509501386116254,1,1.1
23,6.2762203773708105,-22.607727714511668,8.095772083433491,-31.06262999051879,1.1181757788538451,-26.505204473727126,-1.0516312000451744,-15.457396882670128,-7.47999860916241,11.479508857725532,-1.2201474357348987,-29.32159578128916,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142847,-1.0516312000451744,-15.457396882670128,1,1.1500000000000001
24,6.55518720943906,-22.425628995591964,8.176603865852265,-30.902726150201165,1.3151651012154604,-26.521650914979684,-0.8784423765009602,-15.405380138627477,-7.257581046645832,11.56192181152312,-1.0831387039792748,-29.27548754139726,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142861,-0.8784423765009602,-15.405380138627477,1,1.2000000000000002
25,6.838946437969407,-22.246018598974544,8.263851722751024,-30.7384426928853,1.5128521048592969,-26.537583059380324,-0.7058467316637059,-15.353503809630405,-7.0341282817068524,11.643621809810211,-0.9460107641046188,-29.230280586475413,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-0.7058467316637059,-15.353503809630405,1,1.25
26,7.12729118524969,-22.068733756115076,8.357830647367614,-30.570197103551543,1.7114984202661156,-26.552808045609538,-0.5340667075485386,-15.30182055132098,-6.809252113437154,11.724341494270414,-0.8088628520863437,-29.1859386357567,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-0.5340667075485386,-15.30182055132098,1,1.3
27,7.420014573567688,-21.893611698469144,8.458855632939834,-30.39840686718033,1.911365677916865,-26.567133012347924,-0.363324746170517,-15.250383019341259,-6.582564340928306,11.803813506587307,-0.671794203899954,-29.142425408474324,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-0.363324746170517,-15.250383019341259,1,1.35
28,7.716909725211237,-21.720489657492422,8.567241672705524,-30.223489468751993,2.112715508292337,-26.580365098275944,-0.19384328954478347,-15.199243869333367,-6.353676763271912,11.881770488444449,-0.5349040555209534,-29.099704623861424,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142847,-0.19384328954478347,-15.199243869333367,1,1.4000000000000001
29,8.017769762468145,-21.54920486464052,8.683303759902513,-30.045862393246935,2.31580954187332,-26.592311442074177,-0.02584477968644222,-15.148455756939413,-6.122201179559633,11.957945081525416,-0.39829164292480823,-29.057740001151156,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,-0.02584477968644222,-15.148455756939413,1,1.4500000000000002
30,8.322387807626253,-21.37959455136908,8.807356887768574,-29.86594312564553,2.520909409140712,-26.602779182423117,0.1404483413893874,-15.098071337801407,-5.887749388883046,12.03206992751379,-0.262056202087,-29.016495259576686,-14.493877551020383,-24.714285714285722,-20.551020408163247,-10.857142857142847,0.1404483413893874,-15.098071337801407,1,1.5
31,8.630556982973339,-21.21149594913375,8.939716049541602,-29.684149150928175,2.728276740575266,-26.61157545800334,0.304813631667601,-15.04814326756152,-5.649933190333774,12.10387766809314,-0.126296968983025,-28.975934118371125,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142847,0.304813631667601,-15.04814326756152,1,1.55
32,8.942070410797253,-21.04474628939014,9.0806962384594,-29.500897954075228,2.9381731666578323,-26.61850740749532,0.46702864913307934,-14.998724201861794,-5.408364383003444,12.17310094494703,0.008886820411605215,-28.936020296767666,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,0.46702864913307934,-14.998724201861794,1,1.6
33,9.256721213385784,-20.879182803593892,9.230612447759786,-29.31660702006711,3.150860317869352,-26.623382169579575,0.6268709517707933,-14.949866796344294,-5.162654765983653,12.239472399759064,0.14339593012148455,-28.89671751399942,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142861,0.6268709517707933,-14.949866796344294,1,1.6500000000000001
34,9.57430251302679,-20.714642723200647,9.389779670680605,-29.131693833884142,3.3665998246905033,-26.62600688293669,0.7841180975655633,-14.901623706651131,-4.912416138366012,12.302724674212797,0.27713112417107144,-28.857989489299555,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142861,0.7841180975655633,-14.901623706651131,1,1.7000000000000002
35,9.894607432008042,-20.550963279666007,9.558512900459634,-28.946575880506757,3.585653317602213,-26.62618868624716,0.9385476445022699,-14.854047588424406,-4.65726029924209,12.362590409991778,0.4099931665848543,-28.819799941901216,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142847,0.9385476445022699,-14.854047588424406,1,1.75
36,10.217429092617365,-20.387981704445657,9.737127130334773,-28.76167064491533,3.8082824270852633,-26.623734718191542,1.0899371505658388,-14.807191097306191,-4.396799047703625,12.418802248779636,0.5418828213874196,-28.78211259103755,-14.493877551020411,-24.714285714285722,-20.551020408163257,-10.857142857142861,1.0899371505658388,-14.807191097306191,1,1.8
37,10.542560617142588,-20.225535228995188,9.925937353543791,-28.57739561209024,4.034748783620536,-26.61845211745033,1.2380641737411282,-14.76110688893856,-4.1306441828421345,12.471092832259913,0.6727008526032332,-28.74489115594173,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142861,1.2380641737411282,-14.76110688893856,1,1.85
38,10.869795127871559,-20.063461084770246,10.125258563324532,-28.39416826701182,4.265314017688805,-26.610148022704088,1.3827062720130714,-14.715847618963593,-3.858407503749234,12.519194802116171,0.8023480242568437,-28.708099355846883,-14.493877551020411,-24.714285714285722,-20.551020408163247,-10.857142857142847,1.3827062720130714,-14.715847618963593,1,1.9000000000000001
