,Team,Type,Subtype,Period,Start Frame,End Frame,Start Time [s],End Time [s],From,To,Start X,Start Y,End X,End Y
0,Home,PASS,,1.0,0,22.0,0.0,1.1,10.0,8.0,-3.8217687074829976,-26.42857142857143,-1.2251907602812064,-15.509501386116254
1,Home,PASS,,1.0,42,108.0,2.1,5.4,8.0,9.0,1.9219765757648892,-14.54411303583232,37.69917329922262,-13.07840214667624
2,Home,PASS,,1.0,108,118.0,5.4,5.9,9.0,11.0,37.69917329922262,-13.07840214667624,38.3921780415568,-11.399255386374698
3,Home,SET PIECE,,,0,0.0,,,,,,,,
