,Team,Type,Subtype,Period,Start Frame,End Frame,Start Time [s],End Time [s],From,To,Start X,Start Y,End X,End Y
0,Home,PASS,,1.0,0,42.0,0.0,2.1,10.0,66.0,12.330612244897956,17.42857142857143,24.576192292542558,-23.906123374722835
1,Home,PASS,,1.0,42,70.0,2.1,3.5,66.0,14.0,24.576192292542558,-23.906123374722835,27.75635515849468,-14.89906836352597
2,Home,PASS,,1.0,70,108.0,3.5,5.4,14.0,66.0,27.75635515849468,-14.89906836352597,44.68079332028176,-22.35329507857675
3,Home,PASS,,1.0,108,136.0,5.4,6.800000000000001,66.0,10.0,44.68079332028176,-22.35329507857675,46.518069675081875,0.9015087110827334
4,Home,SET PIECE,,,0,0.0,,,,,,,,
