,0
12,11.0
1134,9.0
1567,66.0
2168,5.0
2492,10.0
10475,
10476,
10477,
10478,
10479,
10480,
3632,
3633,
3634,
3635,
6389,
9872,
10481,
10482,
10483,
10484,
10485,
