Frame,Home_12_x,Home_12_y,Home_1134_x,Home_1134_y,Home_1567_x,Home_1567_y,Home_2168_x,Home_2168_y,Home_2492_x,Home_2492_y,Home_10475_x,Home_10475_y,Home_10476_x,Home_10476_y,Home_10477_x,Home_10477_y,Home_10478_x,Home_10478_y,Home_10479_x,Home_10479_y,Home_10480_x,Home_10480_y,ball_x,ball_y,Period,Time [s]
0,27.252879696836857,-6.102473475407193,38.55582392429285,-22.2498161949709,37.87383187172252,3.3208526128503784,34.871492435385335,-2.4504037920660555,30.019858198592626,3.2326968245385252,35.63027744986351,-20.686462625695093,43.13745361494432,-17.70061156771642,38.927329624153714,-11.873700095853266,40.39018455831776,-7.684098341516652,42.45428919065121,-1.0410944245706544,50.98095238095236,-2.9999999999999964,38.55582392429285,-22.2498161949709,1,0.0
1,27.247171253276406,-6.171277155169154,38.31522976791554,-22.18880172248273,37.848316045329504,3.2663248657743313,34.827839865638275,-2.480033834745877,29.966037983413294,3.186994970837671,35.457616094886575,-20.818318159199606,43.21058684813246,-17.75677236441502,38.93965276100449,-11.966544231846092,40.3860451500314,-7.739434995626329,42.488862148892004,-1.1022760904225815,50.98095238095236,-2.9999999999999964,38.31522976791554,-22.18880172248273,1,0.05
2,27.234587112072134,-6.2380839541745265,38.09500957822209,-22.116925073721667,37.82053899006407,3.2179304272388354,34.78171869024404,-2.508116098776858,29.905356153330654,3.1410726078975473,35.292120862236324,-20.953110306221195,43.27783777060388,-17.81078651010013,38.94941751167957,-12.053151215459266,40.37878854332298,-7.790074085862395,42.51831655394512,-1.159400375264319,50.9809523809524,-2.9999999999999964,38.09500957822209,-22.116925073721667,1,0.1
3,27.215325083478,-6.302758482217679,37.89427889200251,-22.034757059633392,37.79043863609141,3.1755930981933935,34.73313664332495,-2.534614691932969,29.838033011496176,3.0950961017698506,35.13347335647531,-21.090699344902497,43.33928368379713,-17.862682214640234,38.956657795126475,-12.133620951035562,40.36845688111107,-7.836095298728544,42.54273023561361,-1.2125310567967449,50.98095238095236,-2.9999999999999822,37.89427889200251,-22.034757059633392,1,0.15000000000000002
4,27.18958297774793,-6.365165349093015,37.71215324604688,-21.942868491163594,37.75795291357694,3.139236679587483,34.68210145900329,-2.5594937219881175,29.764288861061587,3.049231818506257,34.98135518216605,-21.230945553386054,43.395001889151125,-17.912487687903816,38.96140753029246,-12.20805334291781,40.35509230631432,-7.877578320728547,42.56218102370051,-1.2617319127206938,50.98095238095236,-2.9999999999999822,37.71215324604688,-21.942868491163594,1,0.2
5,27.157558605135776,-6.425169164594866,37.54774817714519,-21.84183017925797,37.72301975268583,3.1087849723705734,34.62862087140134,-2.582717296716284,29.684344005178353,3.003646124158471,34.835447943870946,-21.37370920981449,43.44506968810439,-17.960231139759383,38.96370063612482,-12.276548295448798,40.33873696185111,-7.914602838366123,42.576746748008844,-1.307066720737,50.98095238095236,-2.9999999999999822,37.54774817714519,-21.84183017925797,1,0.25
6,27.119449775895614,-6.482634538517579,37.40017922208753,-21.732212934862233,37.68557708358351,3.084161777492177,34.57270261464147,-2.6042495238913816,29.598418746998117,2.95850538477816,34.69543324615275,-21.518850592330367,43.48956438209576,-18.00594078007546,38.96357103157095,-12.339205712971326,40.319432990640124,-7.9472485381449935,42.586505238341694,-1.3485992585465316,50.9809523809524,-2.9999999999999822,37.40017922208753,-21.732212934862233,1,0.30000000000000004
7,27.07545430028127,-6.53742608065556,37.268561917663824,-21.61458756892204,37.645562836435055,3.06529089590179,34.51435442284583,-2.6240545112873614,29.506733389672466,2.913975966417025,34.56099269357377,-21.666229979076277,43.528563272563964,-18.0496448187205,38.96105263557824,-12.39612549982818,40.2972225355998,-7.975595106568888,42.59153432450205,-1.3863933038500802,50.98095238095236,-2.9999999999999822,37.268561917663824,-21.61458756892204,1,0.35000000000000003
8,27.025769988546774,-6.5894084008031655,37.15201180066423,-21.48952489238313,37.602914941406006,3.0520961285488775,34.45358403013689,-2.6420963666781656,29.409508236352956,2.8702242351267646,34.43180789069667,-21.81570764819485,43.5621436609477,-18.091371465563032,38.95617936709399,-12.44740756036219,40.27214773964871,-7.999722230141555,42.591911836292944,-1.420512634348552,50.9809523809524,-2.9999999999999822,37.15201180066423,-21.48952489238313,1,0.4
9,26.97059465094594,-6.6384461087547555,37.049644407878745,-21.357595716191156,37.55757132866143,3.0445012763829227,34.39039917063684,-2.6583391978377207,29.306963590191213,2.8274165569590477,34.30756044208389,-21.96714387782862,43.590382848685685,-18.131148930471543,38.94898514506562,-12.493151798916134,40.24425074570541,-8.019709595366677,42.58771560351748,-1.4510210277427578,50.98095238095236,-2.9999999999999964,37.049644407878745,-21.357595716191156,1,0.45
10,26.9101260977328,-6.684403814304694,36.960575276097416,-21.219370851291796,37.50946992836667,3.042430140353457,34.32480757846805,-2.6727471125399735,29.199319754338788,2.785719297965583,34.18793195229797,-22.12039894612019,43.613358137216615,-18.169005423314523,38.93950388844037,-12.533458119832822,40.213573696688364,-8.035636888748037,42.57902345597869,-1.4779822617335414,50.98095238095236,-2.9999999999999822,36.960575276097416,-21.219370851291796,1,0.5
11,26.844562139161216,-6.727146127247381,36.88391994211021,-21.0754211086308,37.45854867068707,3.045806521409929,34.25681698775278,-2.685284218558856,29.086797031947302,2.745298824198033,34.072604025901484,-22.275333131212182,43.631146827979286,-18.20496915396046,38.92776951616566,-12.568426427455048,40.18015873551622,-8.047583796789343,42.5659132234795,-1.5014601140217425,50.9809523809524,-2.9999999999999822,36.88391994211021,-21.0754211086308,1,0.55
12,26.774100585485165,-6.766537657377118,36.81879394270722,-20.926317299153798,37.404745485787906,3.054554220501847,34.18643513261334,-2.695914623668325,28.96961572616826,2.7063215017081177,33.961258267456934,-22.43180671124713,43.64382622241231,-18.239068332277892,38.91381594718886,-12.5981566261256,40.14404800510739,-8.055630005994303,42.548462735823044,-1.5215183623082147,50.98095238095236,-2.9999999999999822,36.81879394270722,-20.926317299153798,1,0.6000000000000001
13,26.698939246958634,-6.802443014488322,36.7643128146785,-20.772630233806527,37.347998303834494,3.0685970385786883,34.113669747172054,-2.7046024356423173,28.847996140153402,2.6689536965474936,33.85357628152676,-22.589679964367676,43.65147362195456,-18.27133116813526,38.897677100457244,-12.622748620187307,40.105283648380606,-8.059855202866707,42.526749822812405,-1.5382207842938067,50.9809523809524,-2.9999999999999822,36.7643128146785,-20.772630233806527,1,0.65
14,26.61927593383542,-6.834726808375354,36.71959209481411,-20.614930723534705,37.288245054992025,3.0878587765899463,34.03852856555115,-2.7113117622547502,28.722158577054152,2.6333617747678706,33.749239672673625,-22.7488131687164,43.654166328044646,-18.301785871401123,38.879386894918255,-12.642302313982926,40.063907808254214,-8.06033907391023,42.50085231425056,-1.5516311576793533,50.9809523809524,-2.9999999999999822,36.71959209481411,-20.614930723534705,1,0.7000000000000001
15,26.53530845636962,-6.86325364883256,36.68374731990397,-20.453789579283946,37.22542366942578,3.112263235485124,33.96101932187304,-2.7160067112796136,28.59232334002219,2.59971210242094,33.64793004545994,-22.90906660243587,43.65198164212137,-18.330460651943913,38.85897924951914,-12.656917611855304,40.01996262764689,-8.057161305628615,42.47084803994053,-1.5618132601656791,50.9809523809524,-2.9999999999999822,36.68374731990397,-20.453789579283946,1,0.75
16,26.44723462481504,-6.887888145654324,36.6558940267382,-20.289777611999988,37.15947207730121,3.1417342162136794,33.88114975025995,-2.718651390490802,28.458710732209063,2.5681710455583593,33.5493290044483,-23.070300543668676,43.644996865623334,-18.357383719632193,38.83648808320732,-12.6666944181472,39.973490249477045,-8.050401584525599,42.43681482968541,-1.5688308694536621,50.9809523809524,-2.9999999999999964,36.6558940267382,-20.289777611999988,1,0.8
17,26.355252249425625,-6.90849490863502,36.63514775210685,-20.12346563262852,37.09032820878343,3.1761955197251255,33.79892758483419,-2.719209907662275,28.32154105676638,2.5389049702318713,33.453118154201185,-23.23237527055743,43.63328929998936,-18.382583284334398,38.811947314930165,-12.671732637201465,39.924532816663316,-8.040139597104918,42.3988305132882,-1.5727477632441176,50.9809523809524,-2.9999999999999822,36.63514775210685,-20.12346563262852,1,0.8500000000000001
18,26.25955914045544,-6.924938547568979,36.620624032799896,-19.955424452115224,37.01792999403785,3.2155709469689358,33.71436055971811,-2.7176463705679748,28.181034616845736,2.512080242493125,33.35897909928113,-23.39515106124468,43.616936246658184,-18.406087555919076,38.78539086363496,-12.672132173360838,39.87313247212425,-8.02645502987026,42.35697292055195,-1.5736277192379184,50.98095238095236,-2.9999999999999822,36.620624032799896,-19.955424452115224,1,0.9
19,26.16035310815829,-6.937083672250591,36.611438405607466,-19.786224881405822,36.942215363229636,3.259784298894602,33.62745640903395,-2.713924886981824,28.037411715598655,2.4878632283938185,33.26659344425067,-23.55848819387305,43.5960150070684,-18.42792474425469,38.75685264826906,-12.667992930968165,39.819331358778335,-8.009427569325414,42.311319881279665,-1.5715345151358848,50.9809523809524,-2.9999999999999822,36.611438405607466,-19.786224881405822,1,0.9500000000000001
20,26.05783196278812,-6.944794892474238,36.60670640731948,-19.616437731445956,36.86312224652414,3.3087593764516328,33.53822286690402,-2.708009564677784,27.890892656176792,2.46642029398563,33.17564279367231,-23.722246946585123,43.570602882658896,-18.448123059209742,38.72636658777988,-12.659414814366219,39.763171619544075,-7.989136901974079,42.26194922527444,-1.5665319286388706,50.9809523809524,-2.9999999999999822,36.60670640731948,-19.616437731445956,1,1.0
21,25.952193514598903,-6.947936818034239,36.60554357472607,-19.446633813181357,36.780588574086686,3.362419980589481,33.446667667450676,-2.6998645114297677,27.74169774173172,2.447917805320255,33.08580875210862,-23.886287597523474,43.54077717486831,-18.466710710652723,38.69396660111468,-12.6464977278978,39.70469539734008,-7.965662714319989,42.208938782339324,-1.5586837374477291,50.9809523809524,-2.9999999999999822,36.60554357472607,-19.446633813181357,1,1.05
22,25.84363557384459,-6.946374058725001,36.60706544461723,-19.2773839375577,36.6945522760825,3.4206899122576946,33.352798544796094,-2.689453835011764,27.59004727541498,2.432522128449398,32.99677292412205,-24.050470424830724,43.50661518513533,-18.483715908452165,38.659686607220834,-12.62934157590574,39.643944835084916,-7.939084692866867,42.15236638227731,-1.5480537192632664,50.98095238095236,-2.9999999999999822,36.60706544461723,-19.2773839375577,1,1.1
23,25.732355950779098,-6.939971224340919,36.61038755378299,-19.109258915520712,36.604951282676915,3.483492972405687,33.2566232330627,-2.676741643197663,27.4361615603782,2.420399629424712,32.90821691427515,-24.214655706649435,43.468194214898794,-18.49916686247655,38.62356052504579,-12.608046262732806,39.580962075697045,-7.909482524118473,42.09230985489145,-1.5347056517863504,50.98095238095236,-2.9999999999999822,36.61038755378299,-19.109258915520712,1,1.1500000000000001
24,25.61855245565631,-6.928592924676273,36.61462543901341,-18.942829558016054,36.51172352403514,3.550752961982991,33.15814946637277,-2.661692043761434,27.280260899772962,2.4117166742979212,32.8198223271305,-24.378703721122193,43.425591565597315,-18.513091782594355,38.585622273536764,-12.582711692721803,39.515789262095076,-7.876935894578484,42.028847029984824,-1.5187033127178493,50.98095238095236,-2.9999999999999822,36.61462543901341,-18.942829558016054,1,1.2000000000000002
25,25.50242289873018,-6.912103769525499,36.61889463709853,-18.778666675989403,36.41480693032254,3.6223936819390796,33.05738497884859,-2.644269144477,27.122565596750864,2.406639629120697,32.73127076725056,-24.542474746391598,43.37888453866966,-18.52551887867406,38.54590577164115,-12.553437770215556,39.4484685371975,-7.841524490750662,41.96205573736038,-1.500110479758574,50.98095238095236,-2.9999999999999822,36.61889463709853,-18.778666675989403,1,1.25
26,25.384165090254704,-6.890368368682932,36.62231068482838,-18.617341080386485,36.314139431704334,3.6983389332234746,32.95433750461242,-2.624437053118313,26.96329595446345,2.4053348599447255,32.642243839197874,-24.705829060600237,43.328150435554534,-18.53647636058424,38.504444938306364,-12.520324399556818,39.37904204392281,-7.803327999138742,41.892013806821275,-1.4789909306093632,50.98095238095236,-2.9999999999999822,36.62231068482838,-18.617341080386485,1,1.3
27,25.263976840483817,-6.86325133194294,36.623989118992974,-18.45942358215298,36.20965895834593,3.77851251678562,32.84901477778666,-2.6021598774593238,26.802672276062335,2.4079687328217223,32.552423147534974,-24.86862694189074,43.27346655769072,-18.54599243819332,38.46127369247967,-12.483471485088423,39.30755192518966,-7.762426106246457,41.818799068170485,-1.455408442971095,50.98095238095236,-2.9999999999999822,36.623989118992974,-18.45942358215298,1,1.35
28,25.14205595967133,-6.830617269099918,36.623045476382345,-18.305484992234586,36.101303440412494,3.8628382335750246,32.74142453249351,-2.5774017252739405,26.64091486469911,2.4147076138033388,32.461490296824365,-25.030728668405594,43.21491020651685,-18.554095321369825,38.41642595310847,-12.442978931153172,39.23404032391652,-7.718898498577507,41.74248935121099,-1.42942679454457,50.98095238095236,-2.9999999999999822,36.623045476382345,-18.305484992234586,1,1.4000000000000001
29,25.01860025807133,-6.792330789948192,36.618595293786576,-18.156096121576983,35.98901080806939,3.95123988454119,32.63157450285534,-2.5501267043361433,26.47824402352535,2.425717868941276,32.36912689162862,-25.19199451828751,43.15255868347166,-18.56081321998223,38.369935639140074,-12.39894664209385,39.15854938302196,-7.672824862635658,41.66316248574598,-1.4011097630306468,50.9809523809524,-2.9999999999999964,36.618595293786576,-18.156096121576983,1,1.4500000000000002
30,24.893807545937662,-6.748256504282171,36.609754107995684,-18.011827781125874,35.87271899148182,4.043641270633575,32.51947242299439,-2.520298922419826,26.314880055692623,2.4411658642872336,32.27501453651013,-25.352284769678977,43.086489289993956,-18.566174343899057,38.32183666952186,-12.351474522253271,39.08112124542444,-7.624284884924598,41.58089630157831,-1.3705211261301893,50.9809523809524,-2.9999999999999964,36.609754107995684,-18.011827781125874,1,1.5
31,24.7678756335243,-6.69825902189617,36.595637455799675,-17.873250781826936,35.752365920815166,4.139966192801677,32.40512602703302,-2.4878824872989775,26.15104326435253,2.461217965892899,32.17883483603159,-25.511459700722625,43.01677932752246,-18.570206902988826,38.27216296320114,-12.300662475974208,39.00179805404266,-7.573358251948111,41.49576862851125,-1.3377246615440168,50.98095238095236,-2.9999999999999964,36.595637455799675,-17.873250781826936,1,1.55
32,24.641002331085105,-6.642202952584609,36.575360873988636,-17.74093593462589,35.62788952623464,4.240138451995015,32.288543049093484,-2.452841506747508,25.986953952656677,2.486040539809947,32.080269394755405,-25.669379589561046,42.9435060974957,-18.572939107119954,38.220948439125316,-12.246610407599498,38.920621951794985,-7.520124650209872,41.40785729634764,-1.3027841469729933,50.98095238095236,-2.9999999999999964,36.575360873988636,-17.74093593462589,1,1.6
33,24.51338544887414,-6.579952906141832,36.54803989935253,-17.615454050468408,35.499227737905564,4.34408184916304,32.169731223298136,-2.4151400885393617,25.822832423756672,2.5157999520900596,31.978999817244162,-25.825904714336883,42.86674690135268,-18.57439916616102,38.16822701624175,-12.189418221471932,38.83763508160006,-7.464663766213654,41.317240134890554,-1.2657633601179576,50.9809523809524,-2.9999999999999964,36.54803989935253,-17.615454050468408,1,1.6500000000000001
34,24.385222797145246,-6.511373492362176,36.512790068681504,-17.49737594030018,35.366318485993226,4.451720185255257,32.04869828376923,-2.3747423404484866,25.658898980804032,2.550662568784952,31.874707708060342,-25.980895353192594,42.786579040531905,-18.574615289980468,38.11403261349768,-12.129185821934293,38.75287958637641,-7.407055286463159,41.223994973943086,-1.2267260786797303,50.9809523809524,-2.9999999999999964,36.512790068681504,-17.49737594030018,1,1.7000000000000002
35,24.256712186152342,-6.436329321040044,36.46872691876549,-17.387272415066906,35.22909970066287,4.562977261221158,31.925451964629076,-2.33161237024881,25.495373926950325,2.5907947559463094,31.767074671766522,-26.134211784270864,42.70307981647218,-18.573615688446804,38.05839914984055,-12.066013113329364,38.66639760904252,-7.3473788974621055,41.12819964330829,-1.1857360803591694,50.98095238095236,-2.9999999999999822,36.46872691876549,-17.387272415066906,1,1.75
36,24.12805142614944,-6.354685001969805,36.41496598639455,-17.285714285714278,35.0875093120799,4.6777768780102305,31.799999999999997,-2.285714285714287,25.332477565347254,2.636362879625799,31.655782312925172,-26.285714285714278,42.61632653061228,-18.57142857142857,38.00136054421768,-12.000000000000007,38.578231292517,-7.2857142857142865,41.02993197278911,-1.1428571428571388,50.98095238095236,-2.9999999999999964,36.41496598639455,-17.285714285714278,1,1.8
37,23.99936853277973,-6.2663742811167715,36.350810706880345,-17.19311923113131,34.94148525040944,4.796042836571958,31.67235012400426,-2.2370121946188464,25.170360404535586,2.687498737789629,31.54059255686279,-26.435277472913597,42.52639648439081,-18.5680821487942,37.94295071557643,-11.931246386288953,38.48842277971835,-7.222141137723366,40.929269792188656,-1.0981530438744485,50.98095238095236,-2.9999999999999822,35.81462650275878,-16.01313900652171,1,1.85
38,23.87051234324356,-6.171607449130306,36.27631610962052,-17.10929240198022,34.79096544581687,4.917698937855814,31.542510070764177,-2.1854702047364283,25.00889377461339,2.7441958560620234,31.421588611961955,-26.582833310252475,42.43336697924654,-18.563604630412236,37.88320358286418,-11.859852176539038,38.39701421356512,-7.1567391399930935,40.82629093130997,-1.0516875611119911,50.98095238095236,-2.9999999999999822,35.23718825283116,-14.789108833347377,1,1.9000000000000001
39,23.741261900130617,-6.07066393283067,36.19172512253459,-17.033885816866622,34.635887828467524,5.042668982811311,31.410487574402126,-2.131052423841005,24.847879211068033,2.806413191981701,31.29893400736909,-26.728328099362727,42.337315316618266,-18.55802422615117,37.82215306502826,-11.785917275093091,38.30404773697587,-7.089587979027222,40.72107321995609,-1.0035244722705285,50.9809523809524,-2.9999999999999964,34.68265123661173,-13.613623766191303,1,1.9500000000000002
40,23.61139624603058,-5.963823159038133,36.09728067354181,-16.966551494396057,34.47619032852654,5.170876772387943,31.276290369040293,-2.073722959706454,24.687118249386707,2.8741097030873872,31.172792272230616,-26.871708141876162,42.23831879794462,-18.551369145879445,37.75983308101597,-11.709541586293842,38.209565492869075,-7.020767341329442,40.61369448793007,-0.9537275550509824,50.98095238095236,-2.9999999999999964,34.15101545410046,-12.486683805053438,1,2.0
41,23.480694423533123,-5.85136455457302,35.9932256905615,-16.90694145317411,34.311810876159356,5.302246107535172,31.13992618880103,-2.013445920106771,24.526412425056847,2.9472443469178065,31.043326935693106,-27.012919739424646,42.136454724664354,-18.54366759946562,37.696277549774706,-11.630825014484136,38.113609624163324,-6.9503569134035,40.5042325650349,-0.9023605871541482,50.98095238095234,-2.9999999999999822,33.64228090529738,-11.408288949933832,1,2.0500000000000003
42,23.348935475227933,-5.733567546255627,35.87980310151309,-16.854707711806327,34.142687401531205,5.436700789202515,31.001402767806617,-1.9501854128158838,24.365563273565712,3.02577608101169,30.91070152690303,-27.15190919363999,42.031800398216255,-18.534947796778198,37.631520390251836,-11.549867464006764,38.01622227377721,-6.878436381753151,40.39276528107362,-0.8494873462808945,50.98095238095236,-2.9999999999999822,33.15644759020248,-10.378439200832497,1,2.1
