Frame,Home_13_x,Home_13_y,Home_913_x,Home_913_y,Home_3681_x,Home_3681_y,Home_11684_x,Home_11684_y,Home_12551_x,Home_12551_y,Home_12552_x,Home_12552_y,Home_15025_x,Home_15025_y,Home_15026_x,Home_15026_y,Home_15030_x,Home_15030_y,Home_15031_x,Home_15031_y,ball_x,ball_y,Period,Time [s]
0,22.002059498333306,-5.952732019254307,14.951958915931103,20.388617630032034,28.059544004187963,5.190687308190024,31.06603337826119,21.753178529753928,38.05181139359451,2.660397261811249,37.83138969873663,8.310938495379958,41.96712091339462,11.437654135338342,40.58930392648291,14.898833751044272,37.44433954728091,-1.2221687552213976,43.1232845924335,-3.1957560568086922,28.059544004187963,5.190687308190024,1,0.0
1,21.424830856053404,-6.048741714444426,14.669629631552661,20.16870080355327,27.571166895341808,5.1689693635551235,30.702178847644287,21.777185293757803,37.719890703601415,2.6338798755951816,37.60218658892129,8.323393343362902,41.71783209653203,11.441793035219625,40.44113260406656,14.919097876269626,37.31012573601924,-1.1913126896187736,42.94465227730983,-3.1531804841049986,27.571166895341808,5.1689693635551235,1,0.05
2,20.868563468967018,-6.142003516998674,14.384008453862693,19.95102944508365,27.09100889116653,5.148145580303137,30.340386338152932,21.80411649943879,37.39020988995564,2.607643843083199,37.372983479105955,8.335744534718009,41.47065483257011,11.445666798575393,40.2929835867865,14.938979026513667,37.17596397007556,-1.161060546102077,42.76637684436655,-3.1121883656509706,27.09100889116653,5.148145580303137,1,0.1
3,20.33268085487746,-6.2328250050915806,14.095268640403967,19.73548537209638,26.618873452203516,5.128128480490598,29.980637975504926,21.833885299919878,37.06274980841494,2.581686759542782,37.1437803692906,8.347992955399379,41.225570212079894,11.449277799762578,40.14485667489527,14.958480631403072,37.04185378337239,-1.131406916413833,42.58845509764387,-3.072765521259283,26.618873452203516,5.128128480490598,1,0.15000000000000002
4,19.816606531587958,-6.321513756897691,13.8035834487192,19.521950402064704,26.154564038994366,5.108830586174104,29.62291588541817,21.866404848323988,36.73749131473698,2.5560062202414264,36.91457725947524,8.360139491361101,40.98255932563237,11.452628413138104,39.996751668645295,14.97760612056456,36.907794709832224,-1.1023463922965275,42.41088384118189,-3.034897770742644,26.154564038994366,5.108830586174104,1,0.2
5,19.319764016901885,-6.408377350591521,13.50912613635107,19.310306352461783,25.697884112080338,5.090164419410216,29.267202193610483,21.90158829777414,36.41441526467945,2.5305998204466444,36.68537414965986,8.37218502855725,40.741603263798574,11.45572101305897,39.848668368289154,14.996358923624856,36.77378628337762,-1.0738735654926956,42.23365987902084,-2.998570933913731,25.697884112080338,5.090164419410216,1,0.25
6,18.841576828622483,-6.493723364347584,13.212069960842266,19.10043504076084,25.248637132003026,5.072042502255545,28.91347902579973,21.939348801393265,36.09350251400013,2.505465155425885,36.456171039844506,8.384130452941916,40.50268311714955,11.458557973882073,39.700606574079295,15.014742470210614,36.639828037931125,-1.0459830277448043,42.056780015200914,-2.963770830585223,25.248637132003026,5.072042502255545,1,0.30000000000000004
7,18.381468484553128,-6.57785937634041,12.912588179735582,18.892218284435057,24.806626559303844,5.054377356766614,28.56172850770386,21.979599512304336,35.77473391845676,2.4805998204466566,36.22696793002921,8.395976650469159,40.26577997625643,11.461141669964375,39.5525660862683,15.03276018994857,36.50591950741516,-1.0186693707954078,41.880241053762205,-2.9304832805698533,24.806626559303844,5.054377356766614,1,0.35000000000000003
8,17.938862502496995,-6.661092964744534,12.610854050573668,18.68553790095765,24.371655854524285,5.037081505000044,28.211932765040594,22.02225358363031,35.45809033380694,2.456001410776415,35.99776482021381,8.407724507093114,40.030874931690114,11.46347447566285,39.40454670510863,15.050415512465376,36.37206022575235,-0.9919271863870214,41.70403979874497,-2.8986941036802296,24.371655854524285,5.037081505000044,1,0.4
9,17.513182400257463,-6.743731707734491,12.307040830899226,18.480275707801784,23.94352847820572,5.020067469012396,27.86407392352788,22.067224168494178,35.14355261580854,2.4316675216826757,35.76856171039848,8.419374908767821,39.797949074021744,11.465558765334402,39.256548230852815,15.067711867387766,36.23824972686523,-0.9657510662621459,41.52817305418934,-2.868389119729144,23.68017995486381,4.303857396243875,1,0.45
10,17.10385169563782,-6.826083183484813,12.001321778255004,18.27631352244075,23.52204789088966,5.00324777086025,27.51813410888357,22.114424420018864,34.83110162021917,2.4075957484329282,35.53935860058316,8.430928741447367,39.56698349382226,11.467396913335973,39.10857046375338,15.08465268434242,36.1044875446762,-0.9401356021633114,41.35263762413552,-2.8395541485292175,23.002196267879647,3.58494009936588,1,0.5
11,16.710293906441365,-6.90845497016996,11.693870150183646,18.07353316234767,23.107017553117544,4.986534932600158,27.17409544682548,22.163767491327356,34.52071820279649,2.3837836862946338,35.31015549076774,8.442386891085858,39.337959281662805,11.468991294024535,38.96061320406279,15.101241392956068,35.97077321310795,-0.9150753858330092,41.17743031262367,-2.812175009893155,22.33770479357174,2.880329614366034,1,0.55
12,16.331932550471358,-6.991154645964539,11.384859204227926,17.87181644499576,22.698240925430817,4.969841476288734,26.831940063071514,22.215166535542625,34.212383219298346,2.3602289305352975,35.080952380952375,8.45375024363737,39.11085752811438,11.470344281757015,38.812676252033604,15.117481422855379,35.837106266082905,-0.8905650090137689,41.00254792369399,-2.7862375236336567,21.686705531940184,2.1900259412443814,1,0.6000000000000001
13,15.968191145531177,-7.074489789043053,11.074462197930526,17.671045187858233,22.295521468370985,4.953079923982521,26.49165008333953,22.2685347057876,33.90607752548236,2.3369290764224036,34.851749271137024,8.465019685055953,38.88565932374798,11.471458250890374,38.66475940791832,15.13337620366706,35.703486237523634,-0.8665990634480966,40.82798726138657,-2.761727509563382,21.049198482984913,1.514029080000869,1,0.65
14,15.618493209424066,-7.1587679775800375,10.762852388834162,17.47110120840828,21.898662642479515,4.936162797738114,26.153207633347378,22.32378515518531,33.60178197710636,2.313881719223429,34.6225461613217,8.476196101295756,38.662345759134666,11.472335575781553,38.51686247196941,15.148929165017801,35.569912661352646,-0.8431721408785074,40.65374512974162,-2.738630787495051,20.425183646705968,0.8523390306355497,1,0.7000000000000001
15,15.282262259953276,-7.244296789749961,10.450203034481547,17.271866324119156,21.50746790829774,4.9190026196120975,25.8165948388129,22.380831036858666,33.2994774299279,2.2910844542058775,34.393343051506356,8.487280378310817,38.44089792484556,11.472978630787482,38.368985244439415,15.164143736534315,35.43638507149244,-0.820278833047546,40.47981833279943,-2.7169331772413483,19.81466102310332,0.20495579314839943,1,0.75
16,14.958921814922206,-7.3313838037274275,10.136687392415412,17.073222352463993,21.121740726367236,4.901511911661044,25.481793825453998,22.43958550393063,32.99914473970488,2.26853487663723,34.164139941691026,8.49827340205522,38.22129691145154,11.473389790265127,38.22112752558089,15.179023347843291,35.30290300186557,-0.7979137316976695,40.30620367460001,-2.696620498614949,19.21763061217697,-0.4281206324605867,1,0.8
