Frame,Away_3269_x,Away_3269_y,Away_3270_x,Away_3270_y,Away_3271_x,Away_3271_y,Away_11005_x,Away_11005_y,Away_12132_x,Away_12132_y,Away_14856_x,Away_14856_y,Away_19900_x,Away_19900_y,Away_19901_x,Away_19901_y,Away_19902_x,Away_19902_y,Away_20705_x,Away_20705_y,ball_x,ball_y,Period,Time [s]
0,-31.158754040000122,10.095252912790224,-37.961972323092525,3.8112622899189748,-35.066345977111915,-7.666409955908569,-16.18931401788273,-6.349354400845698,-22.76296134919139,4.769510714364242,-50.1156462585034,-0.7142857142857094,-28.41515819146721,18.58358053029519,-32.2956515209857,21.73604925995677,-36.96291148778803,23.15563608486977,-10.455782312925166,6.857142857142862,-35.08650842304128,29.516158835272563,1,0.0
1,-31.48598883530981,10.06018284914908,-38.22686620516793,3.8369725326015445,-35.37897974610655,-7.536855080884951,-16.43145760765244,-6.34019750338905,-22.982900181537676,4.747003106655364,-50.11303160027746,-0.7153340579464151,-28.765133336651367,18.535889782065947,-32.791923337189445,21.504347548810244,-37.020877221571126,23.451659021403277,-10.728175745393266,6.913947843059735,-35.109860063449695,29.3552075051427,1,0.05
2,-31.79790689325983,10.024910284308582,-38.47765032956671,3.859688940799453,-35.67801358724906,-7.4141046280581255,-16.675076363391646,-6.3268990843275965,-23.204042958893623,4.727348045397137,-50.111170135779155,-0.7160804096060781,-29.0979480541726,18.490356173146083,-33.26748012043889,21.275639933287657,-37.07228683234731,23.7300467872184,-10.995042225814561,6.969600237189311,-35.128241764700554,29.210069745679363,1,0.1
3,-32.09482217884206,9.989439295182244,-38.7146353670646,3.879471235980988,-35.963739804740314,-7.298005142036446,-16.920067329086727,-6.309656049911047,-23.426184271235183,4.710492952966631,-50.10999730554612,-0.7165506542934094,-29.413839232668742,18.446955048044178,-33.72268768136562,21.049973550352224,-37.117299994400895,23.991114845406834,-11.256435068839018,7.02411115778031,-35.14180126584999,29.07958887941824,1,0.15000000000000002
4,-32.37704865704846,9.953773958683609,-38.93813198843736,3.8963791396144782,-36.23645070278115,-7.1884031674282545,-17.166327548724144,-6.288665306389149,-23.649118708538374,4.696385251740949,-50.10944855011598,-0.7167706770370185,-29.713043760777587,18.4056617512688,-34.157911830601236,20.827395536967078,-37.15607638201615,24.235178659060352,-11.512407589116572,7.07749172308149,-35.15068630595421,28.96260822889505,1,0.2
5,-32.64490029287093,9.917918351726192,-39.14845086446076,3.9104723731682207,-36.496438585572434,-7.085145248841901,-17.413754066290277,-6.264123760011621,-23.8726408607792,4.6849723640971765,-50.109459310026374,-0.7167663628655779,-29.99579852713695,18.366451627328473,-34.57351837877734,20.607953030095377,-37.18877566947736,24.462553691270685,-11.763013101297252,7.129753051341598,-35.15504462406932,28.857971116645487,1,0.25
6,-32.89869105130138,9.881876551223495,-39.34590266591054,3.9218106581105476,-36.74399575731501,-6.988077930885748,-17.66224392577159,-6.236228317028171,-24.096545317933646,4.67620171241241,-50.10996502581494,-0.7165635968077553,-30.26234042038467,18.329300020731846,-34.96987313652554,20.39169316670032,-37.215557531068846,24.673555405129594,-12.008304920030964,7.180906260809423,-35.1550239592515,28.764520865205284,1,0.30000000000000004
7,-33.1387348973317,9.84565263408903,-39.53079806356246,3.930453715909757,-36.97941452220974,-6.897047758168125,-17.91169417115446,-6.205175883688521,-24.320626669977745,4.6700207190637535,-50.11090113801929,-0.7161882638921889,-30.512906329158564,18.294182275987442,-35.34734191447747,20.178663083745022,-37.23658164107487,24.868499263728815,-12.248336359967695,7.230962469733651,-35.150772050556895,28.681100797110116,1,0.35000000000000003
8,-33.36534579595384,9.809250677236346,-39.70344772819226,3.936461268034161,-37.20298718445747,-6.811901275297323,-18.162001846425337,-6.171163366242428,-24.544679506887466,4.666376806428305,-50.11220308717706,-0.7156662491475516,-30.747733142096408,18.261073737603837,-35.706290523264705,19.96890991819268,-37.252007673779744,25.047700730160074,-12.48316073575748,7.279932796363102,-35.142436637041655,28.606554234895686,1,0.4
9,-33.5788377121597,9.772674757578951,-39.8641623305757,3.939893035952092,-37.41500604825905,-6.7324850268817835,-18.413063995570678,-6.134387670939586,-24.768498418638806,4.66521739688313,-50.11380631382589,-0.715023437602496,-30.967057747836055,18.22994975008961,-36.047084773518854,19.76248080700645,-37.26199530346774,25.21147526751514,-12.712831362050173,7.327828358946497,-35.130165457761954,28.539724501097716,1,0.45
10,-33.77952461094117,9.73592895203037,-40.01325254148851,3.9408087411318236,-37.615763417815344,-6.658645557529806,-18.6647776625768,-6.0950457040297685,-24.991877995207798,4.66648991280535,-50.1156462585034,-0.7142857142857094,-31.171117035015303,18.200785657953322,-36.37009047587152,19.559422887149495,-37.26670420442317,25.36013833888575,-12.937401553495832,7.374660275732569,-35.114106251773926,28.479454918251903,1,0.5
11,-33.96772045729019,9.69901733750411,-40.15102903170648,3.939268105041659,-37.80555159732719,-6.590229411849722,-18.917039891430207,-6.053334371762653,-25.214612826570402,4.670141776572021,-50.11765836174723,-0.7134789642258397,-31.36014789227197,18.17355680570354,-36.67567344095433,19.35978329558497,-37.26629405093031,25.494005407363645,-13.156924624744384,7.420439664970103,-35.09440675813374,28.42458880889395,1,0.55
12,-34.14373921619867,9.661943990913711,-40.27780247200533,3.9353308491499686,-37.984662890995445,-6.527083134449881,-19.169747726117293,-6.009450580387965,-25.43649750270266,4.676120410560269,-50.11977806409501,-0.7126290724515161,-31.53438720824389,18.148238537848826,-36.96419947939886,19.16360916927606,-37.26092451727347,25.61339193604057,-13.371453890445832,7.465177644907852,-35.07121471589754,28.37396949555955,1,0.6000000000000001
