,Team,Type,Subtype,Period,Start Frame,End Frame,Start Time [s],End Time [s],From,To,Start X,Start Y,End X,End Y
0,Home,PASS,,1.0,28,56.0,1.4000000000000001,2.8000000000000003,14.0,66.0,-34.34571050088347,27.19777593054745,-17.8108843537415,20.999999999999986
1,Home,PASS,,1.0,80,116.0,4.0,5.800000000000001,66.0,27.0,-19.25699644148144,20.481179416133102,-43.03161933296138,-2.2984552378860843
2,Home,SET PIECE,,,0,0.0,,,,,,,,
